Datum;von;bis;MW
01.01.2015;00:00;00:15;0
01.01.2015;00:15;00:30;0
01.01.2015;00:30;00:45;0
01.01.2015;00:45;01:00;0
01.01.2015;01:00;01:15;0
01.01.2015;01:15;01:30;0
01.01.2015;01:30;01:45;0
01.01.2015;01:45;02:00;0
01.01.2015;02:00;02:15;0
01.01.2015;02:15;02:30;0
01.01.2015;02:30;02:45;0
01.01.2015;02:45;03:00;0
01.01.2015;03:00;03:15;0
01.01.2015;03:15;03:30;0
01.01.2015;03:30;03:45;0
01.01.2015;03:45;04:00;0
01.01.2015;04:00;04:15;0
01.01.2015;04:15;04:30;0
01.01.2015;04:30;04:45;0
01.01.2015;04:45;05:00;0
01.01.2015;05:00;05:15;0
01.01.2015;05:15;05:30;0
01.01.2015;05:30;05:45;0
01.01.2015;05:45;06:00;0
01.01.2015;06:00;06:15;0
01.01.2015;06:15;06:30;0
01.01.2015;06:30;06:45;0
01.01.2015;06:45;07:00;0
01.01.2015;07:00;07:15;0
01.01.2015;07:15;07:30;0
01.01.2015;07:30;07:45;0
01.01.2015;07:45;08:00;0
01.01.2015;08:00;08:15;0
01.01.2015;08:15;08:30;5
01.01.2015;08:30;08:45;27
01.01.2015;08:45;09:00;76
01.01.2015;09:00;09:15;142
01.01.2015;09:15;09:30;191
01.01.2015;09:30;09:45;302
01.01.2015;09:45;10:00;432
01.01.2015;10:00;10:15;576
01.01.2015;10:15;10:30;701
01.01.2015;10:30;10:45;836
01.01.2015;10:45;11:00;1105
01.01.2015;11:00;11:15;1279
01.01.2015;11:15;11:30;1414
01.01.2015;11:30;11:45;1616
01.01.2015;11:45;12:00;1740
01.01.2015;12:00;12:15;1978
01.01.2015;12:15;12:30;1902
01.01.2015;12:30;12:45;1867
01.01.2015;12:45;13:00;1823
01.01.2015;13:00;13:15;1803
01.01.2015;13:15;13:30;1684
01.01.2015;13:30;13:45;1470
01.01.2015;13:45;14:00;1362
01.01.2015;14:00;14:15;1212
01.01.2015;14:15;14:30;1016
01.01.2015;14:30;14:45;845
01.01.2015;14:45;15:00;662
01.01.2015;15:00;15:15;448
01.01.2015;15:15;15:30;263
01.01.2015;15:30;15:45;130
01.01.2015;15:45;16:00;49
01.01.2015;16:00;16:15;15
01.01.2015;16:15;16:30;6
01.01.2015;16:30;16:45;3
01.01.2015;16:45;17:00;0
01.01.2015;17:00;17:15;0
01.01.2015;17:15;17:30;0
01.01.2015;17:30;17:45;0
01.01.2015;17:45;18:00;0
01.01.2015;18:00;18:15;0
01.01.2015;18:15;18:30;0
01.01.2015;18:30;18:45;0
01.01.2015;18:45;19:00;0
01.01.2015;19:00;19:15;0
01.01.2015;19:15;19:30;0
01.01.2015;19:30;19:45;0
01.01.2015;19:45;20:00;0
01.01.2015;20:00;20:15;0
01.01.2015;20:15;20:30;0
01.01.2015;20:30;20:45;0
01.01.2015;20:45;21:00;0
01.01.2015;21:00;21:15;0
01.01.2015;21:15;21:30;0
01.01.2015;21:30;21:45;0
01.01.2015;21:45;22:00;0
01.01.2015;22:00;22:15;0
01.01.2015;22:15;22:30;0
01.01.2015;22:30;22:45;0
01.01.2015;22:45;23:00;0
01.01.2015;23:00;23:15;0
01.01.2015;23:15;23:30;0
01.01.2015;23:30;23:45;0
01.01.2015;23:45;00:00;0
02.01.2015;00:00;00:15;0
02.01.2015;00:15;00:30;0
02.01.2015;00:30;00:45;0
02.01.2015;00:45;01:00;0
02.01.2015;01:00;01:15;0
02.01.2015;01:15;01:30;0
02.01.2015;01:30;01:45;0
02.01.2015;01:45;02:00;0
02.01.2015;02:00;02:15;0
02.01.2015;02:15;02:30;0
02.01.2015;02:30;02:45;0
02.01.2015;02:45;03:00;0
02.01.2015;03:00;03:15;0
02.01.2015;03:15;03:30;0
02.01.2015;03:30;03:45;0
02.01.2015;03:45;04:00;0
02.01.2015;04:00;04:15;0
02.01.2015;04:15;04:30;0
02.01.2015;04:30;04:45;0
02.01.2015;04:45;05:00;0
02.01.2015;05:00;05:15;0
02.01.2015;05:15;05:30;0
02.01.2015;05:30;05:45;0
02.01.2015;05:45;06:00;0
02.01.2015;06:00;06:15;0
02.01.2015;06:15;06:30;0
02.01.2015;06:30;06:45;0
02.01.2015;06:45;07:00;0
02.01.2015;07:00;07:15;0
02.01.2015;07:15;07:30;0
02.01.2015;07:30;07:45;0
02.01.2015;07:45;08:00;0
02.01.2015;08:00;08:15;0
02.01.2015;08:15;08:30;3
02.01.2015;08:30;08:45;6
02.01.2015;08:45;09:00;13
02.01.2015;09:00;09:15;23
02.01.2015;09:15;09:30;31
02.01.2015;09:30;09:45;45
02.01.2015;09:45;10:00;61
02.01.2015;10:00;10:15;84
02.01.2015;10:15;10:30;114
02.01.2015;10:30;10:45;132
02.01.2015;10:45;11:00;151
02.01.2015;11:00;11:15;170
02.01.2015;11:15;11:30;199
02.01.2015;11:30;11:45;230
02.01.2015;11:45;12:00;273
02.01.2015;12:00;12:15;302
02.01.2015;12:15;12:30;329
02.01.2015;12:30;12:45;385
02.01.2015;12:45;13:00;414
02.01.2015;13:00;13:15;473
02.01.2015;13:15;13:30;515
02.01.2015;13:30;13:45;516
02.01.2015;13:45;14:00;474
02.01.2015;14:00;14:15;425
02.01.2015;14:15;14:30;371
02.01.2015;14:30;14:45;317
02.01.2015;14:45;15:00;258
02.01.2015;15:00;15:15;198
02.01.2015;15:15;15:30;124
02.01.2015;15:30;15:45;78
02.01.2015;15:45;16:00;35
02.01.2015;16:00;16:15;13
02.01.2015;16:15;16:30;5
02.01.2015;16:30;16:45;3
02.01.2015;16:45;17:00;0
02.01.2015;17:00;17:15;0
02.01.2015;17:15;17:30;0
02.01.2015;17:30;17:45;0
02.01.2015;17:45;18:00;0
02.01.2015;18:00;18:15;0
02.01.2015;18:15;18:30;0
02.01.2015;18:30;18:45;0
02.01.2015;18:45;19:00;0
02.01.2015;19:00;19:15;0
02.01.2015;19:15;19:30;0
02.01.2015;19:30;19:45;0
02.01.2015;19:45;20:00;0
02.01.2015;20:00;20:15;0
02.01.2015;20:15;20:30;0
02.01.2015;20:30;20:45;0
02.01.2015;20:45;21:00;0
02.01.2015;21:00;21:15;0
02.01.2015;21:15;21:30;0
02.01.2015;21:30;21:45;0
02.01.2015;21:45;22:00;0
02.01.2015;22:00;22:15;0
02.01.2015;22:15;22:30;0
02.01.2015;22:30;22:45;0
02.01.2015;22:45;23:00;0
02.01.2015;23:00;23:15;0
02.01.2015;23:15;23:30;0
02.01.2015;23:30;23:45;0
02.01.2015;23:45;00:00;0
03.01.2015;00:00;00:15;0
03.01.2015;00:15;00:30;0
03.01.2015;00:30;00:45;0
03.01.2015;00:45;01:00;0
03.01.2015;01:00;01:15;0
03.01.2015;01:15;01:30;0
03.01.2015;01:30;01:45;0
03.01.2015;01:45;02:00;0
03.01.2015;02:00;02:15;0
03.01.2015;02:15;02:30;0
03.01.2015;02:30;02:45;0
03.01.2015;02:45;03:00;0
03.01.2015;03:00;03:15;0
03.01.2015;03:15;03:30;0
03.01.2015;03:30;03:45;0
03.01.2015;03:45;04:00;0
03.01.2015;04:00;04:15;0
03.01.2015;04:15;04:30;0
03.01.2015;04:30;04:45;0
03.01.2015;04:45;05:00;0
03.01.2015;05:00;05:15;0
03.01.2015;05:15;05:30;0
03.01.2015;05:30;05:45;0
03.01.2015;05:45;06:00;0
03.01.2015;06:00;06:15;0
03.01.2015;06:15;06:30;0
03.01.2015;06:30;06:45;0
03.01.2015;06:45;07:00;0
03.01.2015;07:00;07:15;0
03.01.2015;07:15;07:30;0
03.01.2015;07:30;07:45;0
03.01.2015;07:45;08:00;0
03.01.2015;08:00;08:15;0
03.01.2015;08:15;08:30;9
03.01.2015;08:30;08:45;32
03.01.2015;08:45;09:00;66
03.01.2015;09:00;09:15;135
03.01.2015;09:15;09:30;234
03.01.2015;09:30;09:45;329
03.01.2015;09:45;10:00;414
03.01.2015;10:00;10:15;478
03.01.2015;10:15;10:30;527
03.01.2015;10:30;10:45;560
03.01.2015;10:45;11:00;582
03.01.2015;11:00;11:15;615
03.01.2015;11:15;11:30;632
03.01.2015;11:30;11:45;636
03.01.2015;11:45;12:00;640
03.01.2015;12:00;12:15;629
03.01.2015;12:15;12:30;574
03.01.2015;12:30;12:45;561
03.01.2015;12:45;13:00;507
03.01.2015;13:00;13:15;441
03.01.2015;13:15;13:30;384
03.01.2015;13:30;13:45;336
03.01.2015;13:45;14:00;288
03.01.2015;14:00;14:15;230
03.01.2015;14:15;14:30;189
03.01.2015;14:30;14:45;146
03.01.2015;14:45;15:00;114
03.01.2015;15:00;15:15;79
03.01.2015;15:15;15:30;55
03.01.2015;15:30;15:45;34
03.01.2015;15:45;16:00;16
03.01.2015;16:00;16:15;6
03.01.2015;16:15;16:30;2
03.01.2015;16:30;16:45;1
03.01.2015;16:45;17:00;0
03.01.2015;17:00;17:15;0
03.01.2015;17:15;17:30;0
03.01.2015;17:30;17:45;0
03.01.2015;17:45;18:00;0
03.01.2015;18:00;18:15;0
03.01.2015;18:15;18:30;0
03.01.2015;18:30;18:45;0
03.01.2015;18:45;19:00;0
03.01.2015;19:00;19:15;0
03.01.2015;19:15;19:30;0
03.01.2015;19:30;19:45;0
03.01.2015;19:45;20:00;0
03.01.2015;20:00;20:15;0
03.01.2015;20:15;20:30;0
03.01.2015;20:30;20:45;0
03.01.2015;20:45;21:00;0
03.01.2015;21:00;21:15;0
03.01.2015;21:15;21:30;0
03.01.2015;21:30;21:45;0
03.01.2015;21:45;22:00;0
03.01.2015;22:00;22:15;0
03.01.2015;22:15;22:30;0
03.01.2015;22:30;22:45;0
03.01.2015;22:45;23:00;0
03.01.2015;23:00;23:15;0
03.01.2015;23:15;23:30;0
03.01.2015;23:30;23:45;0
03.01.2015;23:45;00:00;0
04.01.2015;00:00;00:15;0
04.01.2015;00:15;00:30;0
04.01.2015;00:30;00:45;0
04.01.2015;00:45;01:00;0
04.01.2015;01:00;01:15;0
04.01.2015;01:15;01:30;0
04.01.2015;01:30;01:45;0
04.01.2015;01:45;02:00;0
04.01.2015;02:00;02:15;0
04.01.2015;02:15;02:30;0
04.01.2015;02:30;02:45;0
04.01.2015;02:45;03:00;0
04.01.2015;03:00;03:15;0
04.01.2015;03:15;03:30;0
04.01.2015;03:30;03:45;0
04.01.2015;03:45;04:00;0
04.01.2015;04:00;04:15;0
04.01.2015;04:15;04:30;0
04.01.2015;04:30;04:45;0
04.01.2015;04:45;05:00;0
04.01.2015;05:00;05:15;0
04.01.2015;05:15;05:30;0
04.01.2015;05:30;05:45;0
04.01.2015;05:45;06:00;0
04.01.2015;06:00;06:15;0
04.01.2015;06:15;06:30;0
04.01.2015;06:30;06:45;0
04.01.2015;06:45;07:00;0
04.01.2015;07:00;07:15;0
04.01.2015;07:15;07:30;0
04.01.2015;07:30;07:45;0
04.01.2015;07:45;08:00;0
04.01.2015;08:00;08:15;1
04.01.2015;08:15;08:30;7
04.01.2015;08:30;08:45;19
04.01.2015;08:45;09:00;56
04.01.2015;09:00;09:15;154
04.01.2015;09:15;09:30;272
04.01.2015;09:30;09:45;379
04.01.2015;09:45;10:00;506
04.01.2015;10:00;10:15;627
04.01.2015;10:15;10:30;743
04.01.2015;10:30;10:45;851
04.01.2015;10:45;11:00;1000
04.01.2015;11:00;11:15;1037
04.01.2015;11:15;11:30;1052
04.01.2015;11:30;11:45;1089
04.01.2015;11:45;12:00;1129
04.01.2015;12:00;12:15;1109
04.01.2015;12:15;12:30;1046
04.01.2015;12:30;12:45;1020
04.01.2015;12:45;13:00;952
04.01.2015;13:00;13:15;952
04.01.2015;13:15;13:30;879
04.01.2015;13:30;13:45;813
04.01.2015;13:45;14:00;732
04.01.2015;14:00;14:15;655
04.01.2015;14:15;14:30;587
04.01.2015;14:30;14:45;485
04.01.2015;14:45;15:00;365
04.01.2015;15:00;15:15;253
04.01.2015;15:15;15:30;162
04.01.2015;15:30;15:45;91
04.01.2015;15:45;16:00;45
04.01.2015;16:00;16:15;17
04.01.2015;16:15;16:30;6
04.01.2015;16:30;16:45;3
04.01.2015;16:45;17:00;0
04.01.2015;17:00;17:15;0
04.01.2015;17:15;17:30;0
04.01.2015;17:30;17:45;0
04.01.2015;17:45;18:00;0
04.01.2015;18:00;18:15;0
04.01.2015;18:15;18:30;0
04.01.2015;18:30;18:45;0
04.01.2015;18:45;19:00;0
04.01.2015;19:00;19:15;0
04.01.2015;19:15;19:30;0
04.01.2015;19:30;19:45;0
04.01.2015;19:45;20:00;0
04.01.2015;20:00;20:15;0
04.01.2015;20:15;20:30;0
04.01.2015;20:30;20:45;0
04.01.2015;20:45;21:00;0
04.01.2015;21:00;21:15;0
04.01.2015;21:15;21:30;0
04.01.2015;21:30;21:45;0
04.01.2015;21:45;22:00;0
04.01.2015;22:00;22:15;0
04.01.2015;22:15;22:30;0
04.01.2015;22:30;22:45;0
04.01.2015;22:45;23:00;0
04.01.2015;23:00;23:15;0
04.01.2015;23:15;23:30;0
04.01.2015;23:30;23:45;0
04.01.2015;23:45;00:00;0
05.01.2015;00:00;00:15;0
05.01.2015;00:15;00:30;0
05.01.2015;00:30;00:45;0
05.01.2015;00:45;01:00;0
05.01.2015;01:00;01:15;0
05.01.2015;01:15;01:30;0
05.01.2015;01:30;01:45;0
05.01.2015;01:45;02:00;0
05.01.2015;02:00;02:15;0
05.01.2015;02:15;02:30;0
05.01.2015;02:30;02:45;0
05.01.2015;02:45;03:00;0
05.01.2015;03:00;03:15;0
05.01.2015;03:15;03:30;0
05.01.2015;03:30;03:45;0
05.01.2015;03:45;04:00;0
05.01.2015;04:00;04:15;0
05.01.2015;04:15;04:30;0
05.01.2015;04:30;04:45;0
05.01.2015;04:45;05:00;0
05.01.2015;05:00;05:15;0
05.01.2015;05:15;05:30;0
05.01.2015;05:30;05:45;0
05.01.2015;05:45;06:00;0
05.01.2015;06:00;06:15;0
05.01.2015;06:15;06:30;0
05.01.2015;06:30;06:45;0
05.01.2015;06:45;07:00;0
05.01.2015;07:00;07:15;0
05.01.2015;07:15;07:30;0
05.01.2015;07:30;07:45;0
05.01.2015;07:45;08:00;0
05.01.2015;08:00;08:15;0
05.01.2015;08:15;08:30;5
05.01.2015;08:30;08:45;17
05.01.2015;08:45;09:00;38
05.01.2015;09:00;09:15;68
05.01.2015;09:15;09:30;101
05.01.2015;09:30;09:45;137
05.01.2015;09:45;10:00;182
05.01.2015;10:00;10:15;234
05.01.2015;10:15;10:30;298
05.01.2015;10:30;10:45;346
05.01.2015;10:45;11:00;405
05.01.2015;11:00;11:15;425
05.01.2015;11:15;11:30;421
05.01.2015;11:30;11:45;426
05.01.2015;11:45;12:00;470
05.01.2015;12:00;12:15;474
05.01.2015;12:15;12:30;440
05.01.2015;12:30;12:45;411
05.01.2015;12:45;13:00;388
05.01.2015;13:00;13:15;359
05.01.2015;13:15;13:30;355
05.01.2015;13:30;13:45;320
05.01.2015;13:45;14:00;304
05.01.2015;14:00;14:15;262
05.01.2015;14:15;14:30;237
05.01.2015;14:30;14:45;184
05.01.2015;14:45;15:00;145
05.01.2015;15:00;15:15;116
05.01.2015;15:15;15:30;81
05.01.2015;15:30;15:45;51
05.01.2015;15:45;16:00;24
05.01.2015;16:00;16:15;9
05.01.2015;16:15;16:30;3
05.01.2015;16:30;16:45;2
05.01.2015;16:45;17:00;0
05.01.2015;17:00;17:15;0
05.01.2015;17:15;17:30;0
05.01.2015;17:30;17:45;0
05.01.2015;17:45;18:00;0
05.01.2015;18:00;18:15;0
05.01.2015;18:15;18:30;0
05.01.2015;18:30;18:45;0
05.01.2015;18:45;19:00;0
05.01.2015;19:00;19:15;0
