"Datum;""Von"";""bis"";""MW"";"
01.01.2022;00:00;00:15;0;
01.01.2022;00:15;00:30;0;
01.01.2022;00:30;00:45;0;
01.01.2022;00:45;01:00;0;
01.01.2022;01:00;01:15;0;
01.01.2022;01:15;01:30;0;
01.01.2022;01:30;01:45;0;
01.01.2022;01:45;02:00;0;
01.01.2022;02:00;02:15;0;
01.01.2022;02:15;02:30;0;
01.01.2022;02:30;02:45;0;
01.01.2022;02:45;03:00;0;
01.01.2022;03:00;03:15;0;
01.01.2022;03:15;03:30;0;
01.01.2022;03:30;03:45;0;
01.01.2022;03:45;04:00;0;
01.01.2022;04:00;04:15;0;
01.01.2022;04:15;04:30;0;
01.01.2022;04:30;04:45;0;
01.01.2022;04:45;05:00;0;
01.01.2022;05:00;05:15;0;
01.01.2022;05:15;05:30;0;
01.01.2022;05:30;05:45;0;
01.01.2022;05:45;06:00;0;
01.01.2022;06:00;06:15;0;
01.01.2022;06:15;06:30;0;
01.01.2022;06:30;06:45;0;
01.01.2022;06:45;07:00;0;
01.01.2022;07:00;07:15;0;
01.01.2022;07:15;07:30;0;
01.01.2022;07:30;07:45;0;
01.01.2022;07:45;08:00;0;
01.01.2022;08:00;08:15;0;
01.01.2022;08:15;08:30;4;
01.01.2022;08:30;08:45;68;
01.01.2022;08:45;09:00;119;
01.01.2022;09:00;09:15;179;
01.01.2022;09:15;09:30;247;
01.01.2022;09:30;09:45;319;
01.01.2022;09:45;10:00;393;
01.01.2022;10:00;10:15;465;
01.01.2022;10:15;10:30;533;
01.01.2022;10:30;10:45;593;
01.01.2022;10:45;11:00;648;
01.01.2022;11:00;11:15;696;
01.01.2022;11:15;11:30;744;
01.01.2022;11:30;11:45;769;
01.01.2022;11:45;12:00;792;
01.01.2022;12:00;12:15;806;
01.01.2022;12:15;12:30;808;
01.01.2022;12:30;12:45;793;
01.01.2022;12:45;13:00;768;
01.01.2022;13:00;13:15;736;
01.01.2022;13:15;13:30;700;
01.01.2022;13:30;13:45;652;
01.01.2022;13:45;14:00;597;
01.01.2022;14:00;14:15;534;
01.01.2022;14:15;14:30;473;
01.01.2022;14:30;14:45;403;
01.01.2022;14:45;15:00;328;
01.01.2022;15:00;15:15;252;
01.01.2022;15:15;15:30;184;
01.01.2022;15:30;15:45;123;
01.01.2022;15:45;16:00;74;
01.01.2022;16:00;16:15;4;
01.01.2022;16:15;16:30;0;
01.01.2022;16:30;16:45;0;
01.01.2022;16:45;17:00;0;
01.01.2022;17:00;17:15;0;
01.01.2022;17:15;17:30;0;
01.01.2022;17:30;17:45;0;
01.01.2022;17:45;18:00;0;
01.01.2022;18:00;18:15;0;
01.01.2022;18:15;18:30;0;
01.01.2022;18:30;18:45;0;
01.01.2022;18:45;19:00;0;
01.01.2022;19:00;19:15;0;
01.01.2022;19:15;19:30;0;
01.01.2022;19:30;19:45;0;
01.01.2022;19:45;20:00;0;
01.01.2022;20:00;20:15;0;
01.01.2022;20:15;20:30;0;
01.01.2022;20:30;20:45;0;
01.01.2022;20:45;21:00;0;
01.01.2022;21:00;21:15;0;
01.01.2022;21:15;21:30;0;
01.01.2022;21:30;21:45;0;
01.01.2022;21:45;22:00;0;
