Datum;von;bis;MW
01.01.2016;00:00;00:15;0
01.01.2016;00:15;00:30;0
01.01.2016;00:30;00:45;0
01.01.2016;00:45;01:00;0
01.01.2016;01:00;01:15;0
01.01.2016;01:15;01:30;0
01.01.2016;01:30;01:45;0
01.01.2016;01:45;02:00;0
01.01.2016;02:00;02:15;0
01.01.2016;02:15;02:30;0
01.01.2016;02:30;02:45;0
01.01.2016;02:45;03:00;0
01.01.2016;03:00;03:15;0
01.01.2016;03:15;03:30;0
01.01.2016;03:30;03:45;0
01.01.2016;03:45;04:00;0
01.01.2016;04:00;04:15;0
01.01.2016;04:15;04:30;0
01.01.2016;04:30;04:45;0
01.01.2016;04:45;05:00;0
01.01.2016;05:00;05:15;0
01.01.2016;05:15;05:30;0
01.01.2016;05:30;05:45;0
01.01.2016;05:45;06:00;0
01.01.2016;06:00;06:15;0
01.01.2016;06:15;06:30;0
01.01.2016;06:30;06:45;0
01.01.2016;06:45;07:00;0
01.01.2016;07:00;07:15;0
01.01.2016;07:15;07:30;0
01.01.2016;07:30;07:45;0
01.01.2016;07:45;08:00;0
01.01.2016;08:00;08:15;2
01.01.2016;08:15;08:30;12
01.01.2016;08:30;08:45;59
01.01.2016;08:45;09:00;143
01.01.2016;09:00;09:15;221
01.01.2016;09:15;09:30;270
01.01.2016;09:30;09:45;326
01.01.2016;09:45;10:00;433
01.01.2016;10:00;10:15;559
01.01.2016;10:15;10:30;709
01.01.2016;10:30;10:45;834
01.01.2016;10:45;11:00;952
01.01.2016;11:00;11:15;1049
01.01.2016;11:15;11:30;1125
01.01.2016;11:30;11:45;1163
01.01.2016;11:45;12:00;1258
01.01.2016;12:00;12:15;1258
01.01.2016;12:15;12:30;1226
01.01.2016;12:30;12:45;1192
01.01.2016;12:45;13:00;1157
01.01.2016;13:00;13:15;1077
01.01.2016;13:15;13:30;1061
01.01.2016;13:30;13:45;938
01.01.2016;13:45;14:00;819
01.01.2016;14:00;14:15;713
01.01.2016;14:15;14:30;578
01.01.2016;14:30;14:45;474
01.01.2016;14:45;15:00;367
01.01.2016;15:00;15:15;265
01.01.2016;15:15;15:30;167
01.01.2016;15:30;15:45;89
01.01.2016;15:45;16:00;34
01.01.2016;16:00;16:15;13
01.01.2016;16:15;16:30;6
01.01.2016;16:30;16:45;3
01.01.2016;16:45;17:00;1
01.01.2016;17:00;17:15;0
01.01.2016;17:15;17:30;0
01.01.2016;17:30;17:45;0
01.01.2016;17:45;18:00;0
01.01.2016;18:00;18:15;0
01.01.2016;18:15;18:30;0
01.01.2016;18:30;18:45;0
01.01.2016;18:45;19:00;0
01.01.2016;19:00;19:15;0
01.01.2016;19:15;19:30;0
01.01.2016;19:30;19:45;0
01.01.2016;19:45;20:00;0
01.01.2016;20:00;20:15;0
01.01.2016;20:15;20:30;0
01.01.2016;20:30;20:45;0
01.01.2016;20:45;21:00;0
01.01.2016;21:00;21:15;0
01.01.2016;21:15;21:30;0
01.01.2016;21:30;21:45;0
01.01.2016;21:45;22:00;0
01.01.2016;22:00;22:15;0
01.01.2016;22:15;22:30;0
01.01.2016;22:30;22:45;0
01.01.2016;22:45;23:00;0
01.01.2016;23:00;23:15;0
01.01.2016;23:15;23:30;0
01.01.2016;23:30;23:45;0
01.01.2016;23:45;00:00;0
02.01.2016;00:00;00:15;0
02.01.2016;00:15;00:30;0
02.01.2016;00:30;00:45;0
02.01.2016;00:45;01:00;0
02.01.2016;01:00;01:15;0
02.01.2016;01:15;01:30;0
02.01.2016;01:30;01:45;0
02.01.2016;01:45;02:00;0
02.01.2016;02:00;02:15;0
02.01.2016;02:15;02:30;0
02.01.2016;02:30;02:45;0
02.01.2016;02:45;03:00;0
02.01.2016;03:00;03:15;0
02.01.2016;03:15;03:30;0
02.01.2016;03:30;03:45;0
02.01.2016;03:45;04:00;0
02.01.2016;04:00;04:15;0
02.01.2016;04:15;04:30;0
02.01.2016;04:30;04:45;0
02.01.2016;04:45;05:00;0
02.01.2016;05:00;05:15;0
02.01.2016;05:15;05:30;0
02.01.2016;05:30;05:45;0
02.01.2016;05:45;06:00;0
02.01.2016;06:00;06:15;0
02.01.2016;06:15;06:30;0
02.01.2016;06:30;06:45;0
02.01.2016;06:45;07:00;0
02.01.2016;07:00;07:15;0
02.01.2016;07:15;07:30;0
02.01.2016;07:30;07:45;0
02.01.2016;07:45;08:00;0
02.01.2016;08:00;08:15;2
02.01.2016;08:15;08:30;10
02.01.2016;08:30;08:45;48
02.01.2016;08:45;09:00;104
02.01.2016;09:00;09:15;142
02.01.2016;09:15;09:30;171
02.01.2016;09:30;09:45;178
02.01.2016;09:45;10:00;238
02.01.2016;10:00;10:15;307
02.01.2016;10:15;10:30;361
02.01.2016;10:30;10:45;421
02.01.2016;10:45;11:00;463
02.01.2016;11:00;11:15;470
02.01.2016;11:15;11:30;502
02.01.2016;11:30;11:45;510
02.01.2016;11:45;12:00;527
02.01.2016;12:00;12:15;505
02.01.2016;12:15;12:30;524
02.01.2016;12:30;12:45;555
02.01.2016;12:45;13:00;531
02.01.2016;13:00;13:15;521
02.01.2016;13:15;13:30;519
02.01.2016;13:30;13:45;515
02.01.2016;13:45;14:00;471
02.01.2016;14:00;14:15;449
02.01.2016;14:15;14:30;359
02.01.2016;14:30;14:45;292
02.01.2016;14:45;15:00;221
02.01.2016;15:00;15:15;165
02.01.2016;15:15;15:30;118
02.01.2016;15:30;15:45;61
02.01.2016;15:45;16:00;22
02.01.2016;16:00;16:15;8
02.01.2016;16:15;16:30;4
02.01.2016;16:30;16:45;2
02.01.2016;16:45;17:00;0
02.01.2016;17:00;17:15;0
02.01.2016;17:15;17:30;0
02.01.2016;17:30;17:45;0
02.01.2016;17:45;18:00;0
02.01.2016;18:00;18:15;0
02.01.2016;18:15;18:30;0
02.01.2016;18:30;18:45;0
02.01.2016;18:45;19:00;0
02.01.2016;19:00;19:15;0
02.01.2016;19:15;19:30;0
02.01.2016;19:30;19:45;0
02.01.2016;19:45;20:00;0
02.01.2016;20:00;20:15;0
02.01.2016;20:15;20:30;0
02.01.2016;20:30;20:45;0
02.01.2016;20:45;21:00;0
02.01.2016;21:00;21:15;0
02.01.2016;21:15;21:30;0
02.01.2016;21:30;21:45;0
02.01.2016;21:45;22:00;0
02.01.2016;22:00;22:15;0
02.01.2016;22:15;22:30;0
02.01.2016;22:30;22:45;0
02.01.2016;22:45;23:00;0
02.01.2016;23:00;23:15;0
02.01.2016;23:15;23:30;0
02.01.2016;23:30;23:45;0
02.01.2016;23:45;00:00;0
03.01.2016;00:00;00:15;0
03.01.2016;00:15;00:30;0
03.01.2016;00:30;00:45;0
03.01.2016;00:45;01:00;0
03.01.2016;01:00;01:15;0
03.01.2016;01:15;01:30;0
03.01.2016;01:30;01:45;0
03.01.2016;01:45;02:00;0
03.01.2016;02:00;02:15;0
03.01.2016;02:15;02:30;0
03.01.2016;02:30;02:45;0
03.01.2016;02:45;03:00;0
03.01.2016;03:00;03:15;0
03.01.2016;03:15;03:30;0
03.01.2016;03:30;03:45;0
03.01.2016;03:45;04:00;0
03.01.2016;04:00;04:15;0
03.01.2016;04:15;04:30;0
03.01.2016;04:30;04:45;0
03.01.2016;04:45;05:00;0
03.01.2016;05:00;05:15;0
03.01.2016;05:15;05:30;0
03.01.2016;05:30;05:45;0
03.01.2016;05:45;06:00;0
03.01.2016;06:00;06:15;0
03.01.2016;06:15;06:30;0
