"Datum;""Von"";""bis"";""MW"";"
01.01.2013;00:00;00:15;0;
01.01.2013;00:15;00:30;0;
01.01.2013;00:30;00:45;0;
01.01.2013;00:45;01:00;0;
01.01.2013;01:00;01:15;0;
01.01.2013;01:15;01:30;0;
01.01.2013;01:30;01:45;0;
01.01.2013;01:45;02:00;0;
01.01.2013;02:00;02:15;0;
01.01.2013;02:15;02:30;0;
01.01.2013;02:30;02:45;0;
01.01.2013;02:45;03:00;0;
01.01.2013;03:00;03:15;0;
01.01.2013;03:15;03:30;0;
01.01.2013;03:30;03:45;0;
01.01.2013;03:45;04:00;0;
01.01.2013;04:00;04:15;0;
01.01.2013;04:15;04:30;0;
01.01.2013;04:30;04:45;0;
01.01.2013;04:45;05:00;0;
01.01.2013;05:00;05:15;0;
01.01.2013;05:15;05:30;0;
01.01.2013;05:30;05:45;0;
01.01.2013;05:45;06:00;0;
01.01.2013;06:00;06:15;0;
01.01.2013;06:15;06:30;0;
01.01.2013;06:30;06:45;0;
01.01.2013;06:45;07:00;0;
01.01.2013;07:00;07:15;0;
01.01.2013;07:15;07:30;0;
01.01.2013;07:30;07:45;1;
01.01.2013;07:45;08:00;2;
01.01.2013;08:00;08:15;3;
01.01.2013;08:15;08:30;5;
01.01.2013;08:30;08:45;18;
01.01.2013;08:45;09:00;45;
01.01.2013;09:00;09:15;82;
01.01.2013;09:15;09:30;126;
01.01.2013;09:30;09:45;186;
01.01.2013;09:45;10:00;234;
01.01.2013;10:00;10:15;281;
01.01.2013;10:15;10:30;319;
01.01.2013;10:30;10:45;351;
01.01.2013;10:45;11:00;380;
01.01.2013;11:00;11:15;407;
01.01.2013;11:15;11:30;433;
01.01.2013;11:30;11:45;442;
01.01.2013;11:45;12:00;444;
01.01.2013;12:00;12:15;443;
01.01.2013;12:15;12:30;441;
01.01.2013;12:30;12:45;422;
01.01.2013;12:45;13:00;400;
01.01.2013;13:00;13:15;376;
01.01.2013;13:15;13:30;351;
01.01.2013;13:30;13:45;317;
01.01.2013;13:45;14:00;280;
01.01.2013;14:00;14:15;243;
01.01.2013;14:15;14:30;205;
01.01.2013;14:30;14:45;173;
01.01.2013;14:45;15:00;145;
01.01.2013;15:00;15:15;115;
01.01.2013;15:15;15:30;83;
01.01.2013;15:30;15:45;60;
01.01.2013;15:45;16:00;36;
01.01.2013;16:00;16:15;12;
01.01.2013;16:15;16:30;1;
01.01.2013;16:30;16:45;0;
01.01.2013;16:45;17:00;0;
01.01.2013;17:00;17:15;0;
01.01.2013;17:15;17:30;0;
01.01.2013;17:30;17:45;0;
01.01.2013;17:45;18:00;0;
01.01.2013;18:00;18:15;0;
01.01.2013;18:15;18:30;0;
01.01.2013;18:30;18:45;0;
01.01.2013;18:45;19:00;0;
01.01.2013;19:00;19:15;0;
01.01.2013;19:15;19:30;0;
01.01.2013;19:30;19:45;0;
01.01.2013;19:45;20:00;0;
01.01.2013;20:00;20:15;0;
01.01.2013;20:15;20:30;0;
01.01.2013;20:30;20:45;0;
01.01.2013;20:45;21:00;0;
01.01.2013;21:00;21:15;0;
01.01.2013;21:15;21:30;0;
01.01.2013;21:30;21:45;0;
01.01.2013;21:45;22:00;0;
01.01.2013;22:00;22:15;0;
01.01.2013;22:15;22:30;0;
01.01.2013;22:30;22:45;0;
01.01.2013;22:45;23:00;0;
01.01.2013;23:00;23:15;0;
