"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";"
01.01.2012;00:00;00:15;1211;0;0;
01.01.2012;00:15;00:30;1244;0;0;
01.01.2012;00:30;00:45;1280;0;0;
01.01.2012;00:45;01:00;1352;0;0;
01.01.2012;01:00;01:15;1334;0;0;
01.01.2012;01:15;01:30;1349;0;0;
01.01.2012;01:30;01:45;1343;0;0;
01.01.2012;01:45;02:00;1409;0;0;
01.01.2012;02:00;02:15;1348;0;0;
01.01.2012;02:15;02:30;1238;0;0;
01.01.2012;02:30;02:45;1316;0;0;
01.01.2012;02:45;03:00;1455;0;0;
01.01.2012;03:00;03:15;1480;0;0;
01.01.2012;03:15;03:30;1447;0;0;
01.01.2012;03:30;03:45;1370;0;0;
01.01.2012;03:45;04:00;1448;0;0;
01.01.2012;04:00;04:15;1610;0;0;
01.01.2012;04:15;04:30;1662;0;0;
01.01.2012;04:30;04:45;1782;0;0;
01.01.2012;04:45;05:00;1777;0;0;
01.01.2012;05:00;05:15;1644;0;0;
01.01.2012;05:15;05:30;1732;0;0;
01.01.2012;05:30;05:45;1758;0;0;
01.01.2012;05:45;06:00;1754;0;0;
01.01.2012;06:00;06:15;1900;0;0;
01.01.2012;06:15;06:30;1962;0;0;
01.01.2012;06:30;06:45;1967;0;0;
01.01.2012;06:45;07:00;2037;0;0;
01.01.2012;07:00;07:15;2081;0;0;
01.01.2012;07:15;07:30;2202;0;0;
01.01.2012;07:30;07:45;2258;0;0;
01.01.2012;07:45;08:00;2404;0;0;
01.01.2012;08:00;08:15;2440;0;0;
01.01.2012;08:15;08:30;2679;0;0;
01.01.2012;08:30;08:45;2849;0;0;
01.01.2012;08:45;09:00;3160;0;0;
01.01.2012;09:00;09:15;3487;0;0;
01.01.2012;09:15;09:30;3575;0;0;
01.01.2012;09:30;09:45;3414;0;0;
01.01.2012;09:45;10:00;3413;0;0;
01.01.2012;10:00;10:15;3587;0;0;
01.01.2012;10:15;10:30;3775;0;0;
01.01.2012;10:30;10:45;3829;0;0;
01.01.2012;10:45;11:00;3992;0;0;
01.01.2012;11:00;11:15;4098;0;0;
01.01.2012;11:15;11:30;4007;0;0;
01.01.2012;11:30;11:45;3997;0;0;
01.01.2012;11:45;12:00;3814;0;0;
01.01.2012;12:00;12:15;3759;0;0;
01.01.2012;12:15;12:30;3583;0;0;
01.01.2012;12:30;12:45;3526;0;0;
01.01.2012;12:45;13:00;3419;0;0;
01.01.2012;13:00;13:15;3468;0;0;
01.01.2012;13:15;13:30;3432;0;0;
01.01.2012;13:30;13:45;3317;0;0;
01.01.2012;13:45;14:00;3358;0;0;
01.01.2012;14:00;14:15;3479;0;0;
01.01.2012;14:15;14:30;3227;0;0;
01.01.2012;14:30;14:45;3070;0;0;
01.01.2012;14:45;15:00;3082;0;0;
01.01.2012;15:00;15:15;3115;0;0;
01.01.2012;15:15;15:30;3228;0;0;
01.01.2012;15:30;15:45;3128;0;0;
01.01.2012;15:45;16:00;2849;0;0;
01.01.2012;16:00;16:15;2926;0;0;
01.01.2012;16:15;16:30;3025;0;0;
01.01.2012;16:30;16:45;2840;0;0;
01.01.2012;16:45;17:00;2660;0;0;
01.01.2012;17:00;17:15;2681;0;0;
01.01.2012;17:15;17:30;2775;0;0;
01.01.2012;17:30;17:45;2826;0;0;
01.01.2012;17:45;18:00;2817;0;0;
01.01.2012;18:00;18:15;2744;0;0;
01.01.2012;18:15;18:30;2845;0;0;
01.01.2012;18:30;18:45;2759;0;0;
01.01.2012;18:45;19:00;2836;0;0;
01.01.2012;19:00;19:15;2947;0;0;
01.01.2012;19:15;19:30;3061;0;0;
01.01.2012;19:30;19:45;3054;0;0;
01.01.2012;19:45;20:00;3146;0;0;
01.01.2012;20:00;20:15;3333;0;0;
01.01.2012;20:15;20:30;3461;0;0;
01.01.2012;20:30;20:45;3535;0;0;
01.01.2012;20:45;21:00;3489;0;0;
01.01.2012;21:00;21:15;3694;0;0;
01.01.2012;21:15;21:30;3942;0;0;
01.01.2012;21:30;21:45;4370;0;0;
01.01.2012;21:45;22:00;4456;0;0;
01.01.2012;22:00;22:15;4642;0;0;
01.01.2012;22:15;22:30;4962;0;0;
01.01.2012;22:30;22:45;5363;0;0;
01.01.2012;22:45;23:00;5390;0;0;
01.01.2012;23:00;23:15;5489;0;0;
01.01.2012;23:15;23:30;5652;0;0;
01.01.2012;23:30;23:45;5972;0;0;
01.01.2012;23:45;00:00;6092;0;0;
02.01.2012;00:00;00:15;6194;0;0;
02.01.2012;00:15;00:30;6251;0;0;
02.01.2012;00:30;00:45;6631;0;0;
02.01.2012;00:45;01:00;7038;0;0;
02.01.2012;01:00;01:15;7192;0;0;
02.01.2012;01:15;01:30;7506;0;0;
02.01.2012;01:30;01:45;7763;0;0;
02.01.2012;01:45;02:00;7836;0;0;
02.01.2012;02:00;02:15;7905;0;0;
02.01.2012;02:15;02:30;7901;0;0;
02.01.2012;02:30;02:45;7794;0;0;
02.01.2012;02:45;03:00;7875;0;0;
02.01.2012;03:00;03:15;7967;0;0;
02.01.2012;03:15;03:30;7987;0;0;
02.01.2012;03:30;03:45;8071;0;0;
02.01.2012;03:45;04:00;8010;0;0;
02.01.2012;04:00;04:15;7871;0;0;
02.01.2012;04:15;04:30;7601;0;0;
02.01.2012;04:30;04:45;7340;0;0;
02.01.2012;04:45;05:00;7054;0;0;
02.01.2012;05:00;05:15;6851;0;0;
02.01.2012;05:15;05:30;6398;0;0;
02.01.2012;05:30;05:45;6144;0;0;
02.01.2012;05:45;06:00;5763;0;0;
02.01.2012;06:00;06:15;5641;0;0;
02.01.2012;06:15;06:30;5376;0;0;
02.01.2012;06:30;06:45;5053;0;0;
02.01.2012;06:45;07:00;5007;0;0;
02.01.2012;07:00;07:15;4826;0;0;
02.01.2012;07:15;07:30;4355;0;0;
02.01.2012;07:30;07:45;4079;0;0;
02.01.2012;07:45;08:00;3692;0;0;
02.01.2012;08:00;08:15;3314;0;0;
02.01.2012;08:15;08:30;2925;0;0;
02.01.2012;08:30;08:45;2683;0;0;
02.01.2012;08:45;09:00;2398;0;0;
02.01.2012;09:00;09:15;2257;0;0;
02.01.2012;09:15;09:30;2074;0;0;
02.01.2012;09:30;09:45;1827;0;0;
02.01.2012;09:45;10:00;1637;0;0;
02.01.2012;10:00;10:15;1474;0;0;
02.01.2012;10:15;10:30;1518;0;0;
02.01.2012;10:30;10:45;1429;0;0;
02.01.2012;10:45;11:00;1471;0;0;
02.01.2012;11:00;11:15;1448;0;0;
02.01.2012;11:15;11:30;1441;0;0;
02.01.2012;11:30;11:45;1520;0;0;
02.01.2012;11:45;12:00;1411;0;0;
02.01.2012;12:00;12:15;1298;0;0;
02.01.2012;12:15;12:30;1312;0;0;
02.01.2012;12:30;12:45;1326;0;0;
02.01.2012;12:45;13:00;1259;0;0;
02.01.2012;13:00;13:15;1310;0;0;
02.01.2012;13:15;13:30;1384;0;0;
02.01.2012;13:30;13:45;1455;0;0;
02.01.2012;13:45;14:00;1376;0;0;
02.01.2012;14:00;14:15;1275;0;0;
02.01.2012;14:15;14:30;1363;0;0;
02.01.2012;14:30;14:45;1366;0;0;
02.01.2012;14:45;15:00;1514;0;0;
02.01.2012;15:00;15:15;1711;0;0;
02.01.2012;15:15;15:30;1847;0;0;
02.01.2012;15:30;15:45;1843;0;0;
02.01.2012;15:45;16:00;1900;0;0;
02.01.2012;16:00;16:15;1921;0;0;
02.01.2012;16:15;16:30;2148;0;0;
02.01.2012;16:30;16:45;2280;0;0;
02.01.2012;16:45;17:00;2315;0;0;
02.01.2012;17:00;17:15;2268;0;0;
02.01.2012;17:15;17:30;2357;0;0;
02.01.2012;17:30;17:45;2335;0;0;
02.01.2012;17:45;18:00;2407;0;0;
02.01.2012;18:00;18:15;2459;0;0;
02.01.2012;18:15;18:30;2605;0;0;
02.01.2012;18:30;18:45;2577;0;0;
02.01.2012;18:45;19:00;2619;0;0;
02.01.2012;19:00;19:15;2715;0;0;
02.01.2012;19:15;19:30;2923;0;0;
02.01.2012;19:30;19:45;2839;0;0;
02.01.2012;19:45;20:00;2956;0;0;
02.01.2012;20:00;20:15;3249;0;0;
02.01.2012;20:15;20:30;3499;0;0;
02.01.2012;20:30;20:45;3430;0;0;
02.01.2012;20:45;21:00;3430;0;0;
02.01.2012;21:00;21:15;3402;0;0;
02.01.2012;21:15;21:30;3217;0;0;
02.01.2012;21:30;21:45;3254;0;0;
02.01.2012;21:45;22:00;3127;0;0;
02.01.2012;22:00;22:15;3109;0;0;
02.01.2012;22:15;22:30;3251;0;0;
02.01.2012;22:30;22:45;3321;0;0;
02.01.2012;22:45;23:00;3179;0;0;
02.01.2012;23:00;23:15;3485;0;0;
02.01.2012;23:15;23:30;3622;0;0;
02.01.2012;23:30;23:45;3974;0;0;
02.01.2012;23:45;00:00;4038;0;0;
03.01.2012;00:00;00:15;3972;0;0;
03.01.2012;00:15;00:30;3888;0;0;
03.01.2012;00:30;00:45;3838;0;0;
03.01.2012;00:45;01:00;3941;0;0;
03.01.2012;01:00;01:15;3868;0;0;
03.01.2012;01:15;01:30;4026;0;0;
03.01.2012;01:30;01:45;4172;0;0;
03.01.2012;01:45;02:00;4142;0;0;
03.01.2012;02:00;02:15;4081;0;0;
03.01.2012;02:15;02:30;4163;0;0;
03.01.2012;02:30;02:45;4238;0;0;
03.01.2012;02:45;03:00;4159;0;0;
03.01.2012;03:00;03:15;3911;0;0;
03.01.2012;03:15;03:30;3795;0;0;
03.01.2012;03:30;03:45;3798;0;0;
03.01.2012;03:45;04:00;4041;0;0;
03.01.2012;04:00;04:15;4274;0;0;
03.01.2012;04:15;04:30;4305;0;0;
03.01.2012;04:30;04:45;4400;0;0;
03.01.2012;04:45;05:00;4707;0;0;
03.01.2012;05:00;05:15;4910;0;0;
03.01.2012;05:15;05:30;4844;0;0;
03.01.2012;05:30;05:45;4995;0;0;
03.01.2012;05:45;06:00;5192;0;0;
03.01.2012;06:00;06:15;5233;0;0;
03.01.2012;06:15;06:30;5177;0;0;
03.01.2012;06:30;06:45;5428;0;0;
03.01.2012;06:45;07:00;5743;0;0;
03.01.2012;07:00;07:15;5897;0;0;
03.01.2012;07:15;07:30;6085;0;0;
03.01.2012;07:30;07:45;6526;0;0;
03.01.2012;07:45;08:00;6673;0;0;
03.01.2012;08:00;08:15;6824;0;0;
03.01.2012;08:15;08:30;6965;0;0;
03.01.2012;08:30;08:45;6869;0;0;
03.01.2012;08:45;09:00;6685;0;0;
03.01.2012;09:00;09:15;6649;0;0;
03.01.2012;09:15;09:30;6986;0;0;
03.01.2012;09:30;09:45;6856;0;0;
03.01.2012;09:45;10:00;6991;0;0;
03.01.2012;10:00;10:15;7144;0;0;
03.01.2012;10:15;10:30;7472;0;0;
03.01.2012;10:30;10:45;7832;0;0;
03.01.2012;10:45;11:00;8099;0;0;
03.01.2012;11:00;11:15;8265;0;0;
03.01.2012;11:15;11:30;8331;0;0;
03.01.2012;11:30;11:45;8509;0;0;
03.01.2012;11:45;12:00;8756;0;0;
03.01.2012;12:00;12:15;8920;0;0;
03.01.2012;12:15;12:30;8979;0;0;
03.01.2012;12:30;12:45;9099;0;0;
03.01.2012;12:45;13:00;9120;0;0;
03.01.2012;13:00;13:15;9299;0;0;
03.01.2012;13:15;13:30;9405;0;0;
03.01.2012;13:30;13:45;9414;0;0;
03.01.2012;13:45;14:00;9387;0;0;
03.01.2012;14:00;14:15;9511;0;0;
03.01.2012;14:15;14:30;9511;0;0;
03.01.2012;14:30;14:45;9524;0;0;
03.01.2012;14:45;15:00;9527;0;0;
03.01.2012;15:00;15:15;9509;0;0;
03.01.2012;15:15;15:30;9496;0;0;
03.01.2012;15:30;15:45;9383;0;0;
03.01.2012;15:45;16:00;9232;0;0;
03.01.2012;16:00;16:15;9356;0;0;
03.01.2012;16:15;16:30;9512;0;0;
03.01.2012;16:30;16:45;9642;0;0;
03.01.2012;16:45;17:00;9795;0;0;
03.01.2012;17:00;17:15;9752;0;0;
03.01.2012;17:15;17:30;9709;0;0;
03.01.2012;17:30;17:45;9778;0;0;
03.01.2012;17:45;18:00;9929;0;0;
03.01.2012;18:00;18:15;9916;0;0;
03.01.2012;18:15;18:30;9923;0;0;
03.01.2012;18:30;18:45;9839;0;0;
03.01.2012;18:45;19:00;9142;0;0;
03.01.2012;19:00;19:15;9039;0;0;
03.01.2012;19:15;19:30;9065;0;0;
03.01.2012;19:30;19:45;8978;0;0;
03.01.2012;19:45;20:00;9048;0;0;
03.01.2012;20:00;20:15;9002;0;0;
03.01.2012;20:15;20:30;8993;0;0;
03.01.2012;20:30;20:45;9013;0;0;
03.01.2012;20:45;21:00;9119;0;0;
03.01.2012;21:00;21:15;9052;0;0;
03.01.2012;21:15;21:30;9174;0;0;
03.01.2012;21:30;21:45;9156;0;0;
03.01.2012;21:45;22:00;8992;0;0;
03.01.2012;22:00;22:15;8876;0;0;
03.01.2012;22:15;22:30;8923;0;0;
03.01.2012;22:30;22:45;8933;0;0;
03.01.2012;22:45;23:00;8780;0;0;
03.01.2012;23:00;23:15;8792;0;0;
03.01.2012;23:15;23:30;8617;0;0;
03.01.2012;23:30;23:45;8203;0;0;
03.01.2012;23:45;00:00;8296;0;0;
04.01.2012;00:00;00:15;8425;0;0;
04.01.2012;00:15;00:30;8498;0;0;
04.01.2012;00:30;00:45;8391;0;0;
04.01.2012;00:45;01:00;8459;0;0;
04.01.2012;01:00;01:15;8365;0;0;
04.01.2012;01:15;01:30;8376;0;0;
04.01.2012;01:30;01:45;8348;0;0;
04.01.2012;01:45;02:00;8237;0;0;
04.01.2012;02:00;02:15;8118;0;0;
04.01.2012;02:15;02:30;7597;0;0;
