"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",
01.01.2015;00:00;00:15;3602;0;0;,
01.01.2015;00:15;00:30;3645;0;0;,
01.01.2015;00:30;00:45;3752;0;0;,
01.01.2015;00:45;01:00;3755;0;0;,
01.01.2015;01:00;01:15;3882;0;0;,
01.01.2015;01:15;01:30;4061;0;0;,
01.01.2015;01:30;01:45;4127;0;0;,
01.01.2015;01:45;02:00;4184;0;0;,
01.01.2015;02:00;02:15;4289;0;0;,
01.01.2015;02:15;02:30;4311;0;0;,
01.01.2015;02:30;02:45;4279;0;0;,
01.01.2015;02:45;03:00;4239;0;0;,
01.01.2015;03:00;03:15;4213;0;0;,
01.01.2015;03:15;03:30;4031;0;0;,
01.01.2015;03:30;03:45;3984;0;0;,
01.01.2015;03:45;04:00;3940;0;0;,
01.01.2015;04:00;04:15;3913;0;0;,
01.01.2015;04:15;04:30;3899;0;0;,
01.01.2015;04:30;04:45;3838;0;0;,
01.01.2015;04:45;05:00;3769;0;0;,
01.01.2015;05:00;05:15;3785;0;0;,
01.01.2015;05:15;05:30;3797;0;0;,
01.01.2015;05:30;05:45;3751;0;0;,
01.01.2015;05:45;06:00;3680;0;0;,
01.01.2015;06:00;06:15;3648;0;0;,
01.01.2015;06:15;06:30;3689;0;0;,
01.01.2015;06:30;06:45;3831;0;0;,
01.01.2015;06:45;07:00;3929;0;0;,
01.01.2015;07:00;07:15;4077;0;0;,
01.01.2015;07:15;07:30;4013;0;0;,
01.01.2015;07:30;07:45;4059;0;0;,
01.01.2015;07:45;08:00;4066;0;0;,
01.01.2015;08:00;08:15;3985;0;0;,
01.01.2015;08:15;08:30;4017;0;0;,
01.01.2015;08:30;08:45;3872;0;0;,
01.01.2015;08:45;09:00;3836;0;0;,
01.01.2015;09:00;09:15;3852;0;0;,
01.01.2015;09:15;09:30;3994;0;0;,
01.01.2015;09:30;09:45;4060;0;0;,
01.01.2015;09:45;10:00;3954;0;0;,
01.01.2015;10:00;10:15;3979;0;0;,
01.01.2015;10:15;10:30;3963;0;0;,
01.01.2015;10:30;10:45;4025;0;0;,
01.01.2015;10:45;11:00;4095;0;0;,
01.01.2015;11:00;11:15;4001;0;0;,
01.01.2015;11:15;11:30;3999;0;0;,
01.01.2015;11:30;11:45;3908;0;0;,
01.01.2015;11:45;12:00;4035;0;0;,
01.01.2015;12:00;12:15;3997;0;0;,
01.01.2015;12:15;12:30;4144;0;0;,
01.01.2015;12:30;12:45;4233;0;0;,
01.01.2015;12:45;13:00;4270;0;0;,
01.01.2015;13:00;13:15;4277;0;0;,
01.01.2015;13:15;13:30;4405;0;0;,
01.01.2015;13:30;13:45;4435;0;0;,
01.01.2015;13:45;14:00;4371;0;0;,
01.01.2015;14:00;14:15;4385;0;0;,
01.01.2015;14:15;14:30;4366;0;0;,
01.01.2015;14:30;14:45;4258;0;0;,
01.01.2015;14:45;15:00;4310;0;0;,
01.01.2015;15:00;15:15;4424;0;0;,
01.01.2015;15:15;15:30;4492;0;0;,
01.01.2015;15:30;15:45;4611;0;0;,
01.01.2015;15:45;16:00;4773;0;0;,
01.01.2015;16:00;16:15;4974;0;0;,
01.01.2015;16:15;16:30;5356;0;0;,
01.01.2015;16:30;16:45;5632;0;0;,
01.01.2015;16:45;17:00;5898;0;0;,
01.01.2015;17:00;17:15;6055;0;0;,
01.01.2015;17:15;17:30;6326;0;0;,
01.01.2015;17:30;17:45;6636;0;0;,
01.01.2015;17:45;18:00;6680;0;0;,
01.01.2015;18:00;18:15;6801;0;0;,
01.01.2015;18:15;18:30;6996;0;0;,
01.01.2015;18:30;18:45;7053;0;0;,
01.01.2015;18:45;19:00;7142;0;0;,
01.01.2015;19:00;19:15;7316;0;0;,
01.01.2015;19:15;19:30;7350;0;0;,
01.01.2015;19:30;19:45;7389;0;0;,
01.01.2015;19:45;20:00;7409;0;0;,
01.01.2015;20:00;20:15;7534;0;0;,
01.01.2015;20:15;20:30;7630;0;0;,
01.01.2015;20:30;20:45;7733;0;0;,
01.01.2015;20:45;21:00;7878;0;0;,
01.01.2015;21:00;21:15;7943;0;0;,
01.01.2015;21:15;21:30;7960;0;0;,
01.01.2015;21:30;21:45;7949;0;0;,
01.01.2015;21:45;22:00;8097;0;0;,
01.01.2015;22:00;22:15;8279;0;0;,
01.01.2015;22:15;22:30;8297;0;0;,
01.01.2015;22:30;22:45;8335;0;0;,
01.01.2015;22:45;23:00;8493;0;0;,
01.01.2015;23:00;23:15;8464;0;0;,
01.01.2015;23:15;23:30;8630;0;0;,
01.01.2015;23:30;23:45;8887;0;0;,
01.01.2015;23:45;00:00;8982;0;0;,
02.01.2015;00:00;00:15;9044;0;0;,
02.01.2015;00:15;00:30;8855;0;0;,
02.01.2015;00:30;00:45;8965;0;0;,
02.01.2015;00:45;01:00;9136;0;0;,
02.01.2015;01:00;01:15;9298;0;0;,
02.01.2015;01:15;01:30;9168;0;0;,
02.01.2015;01:30;01:45;9349;0;0;,
02.01.2015;01:45;02:00;9559;0;0;,
02.01.2015;02:00;02:15;9642;0;0;,
02.01.2015;02:15;02:30;9448;0;0;,
02.01.2015;02:30;02:45;9503;0;0;,
02.01.2015;02:45;03:00;9611;0;0;,
02.01.2015;03:00;03:15;9729;0;0;,
02.01.2015;03:15;03:30;9766;0;0;,
02.01.2015;03:30;03:45;9975;0;0;,
02.01.2015;03:45;04:00;10193;0;0;,
02.01.2015;04:00;04:15;10201;0;0;,
02.01.2015;04:15;04:30;10320;0;0;,
02.01.2015;04:30;04:45;10485;0;0;,
02.01.2015;04:45;05:00;10498;0;0;,
02.01.2015;05:00;05:15;10472;0;0;,
02.01.2015;05:15;05:30;10527;0;0;,
02.01.2015;05:30;05:45;10455;0;0;,
02.01.2015;05:45;06:00;10353;0;0;,
02.01.2015;06:00;06:15;10307;0;0;,
02.01.2015;06:15;06:30;10393;0;0;,
02.01.2015;06:30;06:45;10398;0;0;,
02.01.2015;06:45;07:00;10364;0;0;,
02.01.2015;07:00;07:15;10540;0;0;,
02.01.2015;07:15;07:30;10668;0;0;,
