"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",,,
01.01.2022;00:00;00:15;10658,18;10001,56;656,62;
01.01.2022;00:15;00:30;10858,3;10271,43;586,87;
01.01.2022;00:30;00:45;10748,83;10158,29;590,53;
01.01.2022;00:45;01:00;10817,24;10257,29;559,95;
01.01.2022;01:00;01:15;10677,36;9975,47;701,89;
01.01.2022;01:15;01:30;10855,05;10180,22;674,83;
01.01.2022;01:30;01:45;11053,61;10351,58;702,03;
01.01.2022;01:45;02:00;10852,57;9970,26;882,31;
01.01.2022;02:00;02:15;11244,15;10324,25;919,9;
01.01.2022;02:15;02:30;11224,72;10276,62;948,1;
01.01.2022;02:30;02:45;11220,61;10279,83;940,78;
01.01.2022;02:45;03:00;11274,41;10409,81;864,61;
01.01.2022;03:00;03:15;10851,73;10073,77;777,96;
01.01.2022;03:15;03:30;10666,1;9972,4;693,7;
01.01.2022;03:30;03:45;10351,47;9608,17;743,3;
01.01.2022;03:45;04:00;10183,72;9415,39;768,32;
01.01.2022;04:00;04:15;9956,07;9223,39;732,68;
01.01.2022;04:15;04:30;9982,04;9324,9;657,14;
01.01.2022;04:30;04:45;9595,76;9016,39;579,38;
01.01.2022;04:45;05:00;9442,55;8895,91;546,64;
01.01.2022;05:00;05:15;9338,37;8815,41;522,96;
01.01.2022;05:15;05:30;9140,74;8603,44;537,3;
01.01.2022;05:30;05:45;9044,53;8493,43;551,1;
01.01.2022;05:45;06:00;9124,42;8574,12;550,3;
01.01.2022;06:00;06:15;9044,18;8504,5;539,68;
01.01.2022;06:15;06:30;9137,68;8556,29;581,39;
01.01.2022;06:30;06:45;9035,49;8486,52;548,97;
01.01.2022;06:45;07:00;8967,31;8482,35;484,96;
01.01.2022;07:00;07:15;8940,5;8566,86;373,63;
01.01.2022;07:15;07:30;8521,58;8257,57;264,01;
01.01.2022;07:30;07:45;8352,7;8128,57;224,13;
01.01.2022;07:45;08:00;8276,33;8070,48;205,85;
01.01.2022;08:00;08:15;8135,5;7929,67;205,83;
01.01.2022;08:15;08:30;7886,15;7647,48;238,67;
01.01.2022;08:30;08:45;7827,99;7597,05;230,94;
01.01.2022;08:45;09:00;7868,39;7614,46;253,93;
01.01.2022;09:00;09:15;7844,3;7636,94;207,36;
01.01.2022;09:15;09:30;7779,38;7608,82;170,56;
01.01.2022;09:30;09:45;7543,91;7385,6;158,3;
01.01.2022;09:45;10:00;7510,33;7333,04;177,29;
01.01.2022;10:00;10:15;7342,42;7158,98;183,44;
01.01.2022;10:15;10:30;6925,26;6733,51;191,74;
01.01.2022;10:30;10:45;6754,84;6532,67;222,17;
01.01.2022;10:45;11:00;6638,19;6437,49;200,69;
01.01.2022;11:00;11:15;6495,81;6299,74;196,07;
01.01.2022;11:15;11:30;6260,4;6070,57;189,83;
01.01.2022;11:30;11:45;5961,2;5781,66;179,54;
01.01.2022;11:45;12:00;5325,66;5175,67;149,98;
01.01.2022;12:00;12:15;5265,72;5121,56;144,16;
01.01.2022;12:15;12:30;5177,99;5062,83;115,17;
01.01.2022;12:30;12:45;4820,16;4722,83;97,33;
01.01.2022;12:45;13:00;4550,62;4474,47;76,15;
01.01.2022;13:00;13:15;4270,97;4214,98;55,99;
01.01.2022;13:15;13:30;3842,98;3809,35;33,64;
01.01.2022;13:30;13:45;3519,46;3489,03;30,43;
01.01.2022;13:45;14:00;3261,77;3234,07;27,7;
01.01.2022;14:00;14:15;3096,86;3073,91;22,95;
01.01.2022;14:15;14:30;2799,22;2774,13;25,09;
01.01.2022;14:30;14:45;2612,44;2596,57;15,87;
01.01.2022;14:45;15:00;2459,42;2446,01;13,41;
01.01.2022;15:00;15:15;2447,6;2434,07;13,53;
01.01.2022;15:15;15:30;2346,73;2332,24;14,49;
01.01.2022;15:30;15:45;2304,14;2289,95;14,19;
01.01.2022;15:45;16:00;2398,86;2386,17;12,69;
01.01.2022;16:00;16:15;2599,83;2588,94;10,89;
01.01.2022;16:15;16:30;2644,75;2635;9,75;,
01.01.2022;16:30;16:45;2699,93;2689,46;10,47;
01.01.2022;16:45;17:00;2748,14;2732,54;15,6;
01.01.2022;17:00;17:15;2802,27;2777,31;24,96;
01.01.2022;17:15;17:30;2824,66;2807,59;17,07;
01.01.2022;17:30;17:45;2937,38;2908,51;28,88;
01.01.2022;17:45;18:00;3027,66;2997,79;29,87;
01.01.2022;18:00;18:15;3197,84;3162,08;35,76;
01.01.2022;18:15;18:30;3308,52;3279,39;29,13;
01.01.2022;18:30;18:45;3430,5;3389,27;41,23;
01.01.2022;18:45;19:00;3700,45;3644,94;55,51;
