"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";"
01.01.2013;00:00;00:15;7271;0;0;
01.01.2013;00:15;00:30;7237;0;0;
01.01.2013;00:30;00:45;7481;0;0;
01.01.2013;00:45;01:00;7475;0;0;
01.01.2013;01:00;01:15;7472;0;0;
01.01.2013;01:15;01:30;7297;0;0;
01.01.2013;01:30;01:45;7188;0;0;
01.01.2013;01:45;02:00;7111;0;0;
01.01.2013;02:00;02:15;7045;0;0;
01.01.2013;02:15;02:30;6984;0;0;
01.01.2013;02:30;02:45;6862;0;0;
01.01.2013;02:45;03:00;6694;0;0;
01.01.2013;03:00;03:15;6778;0;0;
01.01.2013;03:15;03:30;6658;0;0;
01.01.2013;03:30;03:45;6579;0;0;
01.01.2013;03:45;04:00;6468;0;0;
01.01.2013;04:00;04:15;6479;0;0;
01.01.2013;04:15;04:30;6538;0;0;
01.01.2013;04:30;04:45;6702;0;0;
01.01.2013;04:45;05:00;6660;0;0;
01.01.2013;05:00;05:15;6545;0;0;
01.01.2013;05:15;05:30;6360;0;0;
01.01.2013;05:30;05:45;6192;0;0;
01.01.2013;05:45;06:00;6113;0;0;
01.01.2013;06:00;06:15;6146;0;0;
01.01.2013;06:15;06:30;6221;0;0;
01.01.2013;06:30;06:45;6219;0;0;
01.01.2013;06:45;07:00;6020;0;0;
01.01.2013;07:00;07:15;6007;0;0;
01.01.2013;07:15;07:30;6150;0;0;
01.01.2013;07:30;07:45;6275;0;0;
01.01.2013;07:45;08:00;6175;0;0;
01.01.2013;08:00;08:15;6096;0;0;
01.01.2013;08:15;08:30;6113;0;0;
01.01.2013;08:30;08:45;5996;0;0;
01.01.2013;08:45;09:00;5914;0;0;
01.01.2013;09:00;09:15;5902;0;0;
01.01.2013;09:15;09:30;6079;0;0;
01.01.2013;09:30;09:45;6032;0;0;
01.01.2013;09:45;10:00;5935;0;0;
01.01.2013;10:00;10:15;5858;0;0;
01.01.2013;10:15;10:30;5732;0;0;
01.01.2013;10:30;10:45;5929;0;0;
01.01.2013;10:45;11:00;5974;0;0;
01.01.2013;11:00;11:15;5865;0;0;
01.01.2013;11:15;11:30;5944;0;0;
01.01.2013;11:30;11:45;5838;0;0;
01.01.2013;11:45;12:00;5756;0;0;
01.01.2013;12:00;12:15;5723;0;0;
01.01.2013;12:15;12:30;5668;0;0;
01.01.2013;12:30;12:45;5565;0;0;
01.01.2013;12:45;13:00;5288;0;0;
01.01.2013;13:00;13:15;5181;0;0;
01.01.2013;13:15;13:30;5126;0;0;
01.01.2013;13:30;13:45;5040;0;0;
01.01.2013;13:45;14:00;4978;0;0;
01.01.2013;14:00;14:15;4853;0;0;
01.01.2013;14:15;14:30;4677;0;0;
01.01.2013;14:30;14:45;4582;0;0;
01.01.2013;14:45;15:00;4302;0;0;
01.01.2013;15:00;15:15;4048;0;0;
01.01.2013;15:15;15:30;3803;0;0;
01.01.2013;15:30;15:45;3651;0;0;
01.01.2013;15:45;16:00;3496;0;0;
01.01.2013;16:00;16:15;3472;0;0;
01.01.2013;16:15;16:30;3456;0;0;
01.01.2013;16:30;16:45;3312;0;0;
01.01.2013;16:45;17:00;3293;0;0;
01.01.2013;17:00;17:15;3379;0;0;
01.01.2013;17:15;17:30;3525;0;0;
01.01.2013;17:30;17:45;3540;0;0;
01.01.2013;17:45;18:00;3407;0;0;
01.01.2013;18:00;18:15;3326;0;0;
01.01.2013;18:15;18:30;3234;0;0;
01.01.2013;18:30;18:45;3217;0;0;
01.01.2013;18:45;19:00;3191;0;0;
01.01.2013;19:00;19:15;3163;0;0;
01.01.2013;19:15;19:30;3293;0;0;
01.01.2013;19:30;19:45;3341;0;0;
01.01.2013;19:45;20:00;3300;0;0;
01.01.2013;20:00;20:15;3558;0;0;
01.01.2013;20:15;20:30;3392;0;0;
01.01.2013;20:30;20:45;3326;0;0;
01.01.2013;20:45;21:00;3203;0;0;
01.01.2013;21:00;21:15;3146;0;0;
01.01.2013;21:15;21:30;3135;0;0;
01.01.2013;21:30;21:45;3280;0;0;
01.01.2013;21:45;22:00;3367;0;0;
01.01.2013;22:00;22:15;3276;0;0;
01.01.2013;22:15;22:30;3191;0;0;
01.01.2013;22:30;22:45;3124;0;0;
01.01.2013;22:45;23:00;3212;0;0;
01.01.2013;23:00;23:15;3074;0;0;
01.01.2013;23:15;23:30;3046;0;0;
01.01.2013;23:30;23:45;2971;0;0;
01.01.2013;23:45;00:00;2889;0;0;
02.01.2013;00:00;00:15;2939;0;0;
02.01.2013;00:15;00:30;2947;0;0;
02.01.2013;00:30;00:45;2813;0;0;
02.01.2013;00:45;01:00;3015;0;0;
02.01.2013;01:00;01:15;3123;0;0;
02.01.2013;01:15;01:30;3198;0;0;
02.01.2013;01:30;01:45;3171;0;0;
02.01.2013;01:45;02:00;3174;0;0;
02.01.2013;02:00;02:15;3205;0;0;
02.01.2013;02:15;02:30;3305;0;0;
02.01.2013;02:30;02:45;3400;0;0;
02.01.2013;02:45;03:00;3559;0;0;
02.01.2013;03:00;03:15;3719;0;0;
02.01.2013;03:15;03:30;3860;0;0;
02.01.2013;03:30;03:45;3917;0;0;
02.01.2013;03:45;04:00;3872;0;0;
02.01.2013;04:00;04:15;3825;0;0;
02.01.2013;04:15;04:30;3838;0;0;
02.01.2013;04:30;04:45;3810;0;0;
02.01.2013;04:45;05:00;3938;0;0;
02.01.2013;05:00;05:15;4136;0;0;
02.01.2013;05:15;05:30;4279;0;0;
02.01.2013;05:30;05:45;4435;0;0;
02.01.2013;05:45;06:00;4514;0;0;
02.01.2013;06:00;06:15;4804;0;0;
02.01.2013;06:15;06:30;4958;0;0;
02.01.2013;06:30;06:45;4965;0;0;
02.01.2013;06:45;07:00;5177;0;0;
02.01.2013;07:00;07:15;5030;0;0;
02.01.2013;07:15;07:30;5132;0;0;
02.01.2013;07:30;07:45;5306;0;0;
02.01.2013;07:45;08:00;5216;0;0;
02.01.2013;08:00;08:15;5265;0;0;
02.01.2013;08:15;08:30;5380;0;0;
02.01.2013;08:30;08:45;5563;0;0;
02.01.2013;08:45;09:00;5372;0;0;
02.01.2013;09:00;09:15;5285;0;0;
02.01.2013;09:15;09:30;5245;0;0;
02.01.2013;09:30;09:45;5162;0;0;
02.01.2013;09:45;10:00;5081;0;0;
02.01.2013;10:00;10:15;5212;0;0;
02.01.2013;10:15;10:30;5199;0;0;
02.01.2013;10:30;10:45;5196;0;0;
02.01.2013;10:45;11:00;5282;0;0;
02.01.2013;11:00;11:15;5303;0;0;
02.01.2013;11:15;11:30;5409;0;0;
02.01.2013;11:30;11:45;5502;0;0;
02.01.2013;11:45;12:00;5325;0;0;
02.01.2013;12:00;12:15;5401;0;0;
02.01.2013;12:15;12:30;5185;0;0;
02.01.2013;12:30;12:45;5077;0;0;
02.01.2013;12:45;13:00;5083;0;0;
02.01.2013;13:00;13:15;5138;0;0;
02.01.2013;13:15;13:30;5076;0;0;
02.01.2013;13:30;13:45;4710;0;0;
02.01.2013;13:45;14:00;4466;0;0;
02.01.2013;14:00;14:15;4319;0;0;
02.01.2013;14:15;14:30;4135;0;0;
02.01.2013;14:30;14:45;4198;0;0;
02.01.2013;14:45;15:00;4112;0;0;
02.01.2013;15:00;15:15;3919;0;0;
02.01.2013;15:15;15:30;3912;0;0;
02.01.2013;15:30;15:45;3770;0;0;
02.01.2013;15:45;16:00;3542;0;0;
02.01.2013;16:00;16:15;3574;0;0;
02.01.2013;16:15;16:30;3858;0;0;
02.01.2013;16:30;16:45;3789;0;0;
