"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",,,
01.01.2016;00:00;00:15;1498,8;1467,58;31,22;
01.01.2016;00:15;00:30;1444,69;1416,24;28,45;
01.01.2016;00:30;00:45;1431,51;1403,11;28,41;
01.01.2016;00:45;01:00;1430,37;1407,75;22,62;
01.01.2016;01:00;01:15;1448,99;1427,76;21,23;
01.01.2016;01:15;01:30;1405,88;1379,32;26,56;
01.01.2016;01:30;01:45;1423,24;1398,82;24,42;
01.01.2016;01:45;02:00;1467,61;1447,61;20;,
01.01.2016;02:00;02:15;1532,66;1517,03;15,62;
01.01.2016;02:15;02:30;1524,77;1510,74;14,03;
01.01.2016;02:30;02:45;1547,08;1538,88;8,2;
01.01.2016;02:45;03:00;1579,74;1574,77;4,97;
01.01.2016;03:00;03:15;1632,72;1627,72;5;,
01.01.2016;03:15;03:30;1690,58;1684,79;5,78;
01.01.2016;03:30;03:45;1674,51;1670,14;4,37;
01.01.2016;03:45;04:00;1649,04;1638,34;10,71;
01.01.2016;04:00;04:15;1674,84;1661,29;13,54;
01.01.2016;04:15;04:30;1666,6;1648,08;18,52;
01.01.2016;04:30;04:45;1635,35;1621,77;13,58;
01.01.2016;04:45;05:00;1584,08;1579,8;4,28;
01.01.2016;05:00;05:15;1522,6;1522,43;0,17;
01.01.2016;05:15;05:30;1452,49;1451,57;0,92;
01.01.2016;05:30;05:45;1405,06;1399,38;5,68;
01.01.2016;05:45;06:00;1482,3;1479,33;2,97;
01.01.2016;06:00;06:15;1527,8;1527,8;0;,
01.01.2016;06:15;06:30;1516,62;1516,6;0,01;
01.01.2016;06:30;06:45;1529,31;1529,31;0;,
01.01.2016;06:45;07:00;1588,87;1588,87;0;,
01.01.2016;07:00;07:15;1576,28;1576,28;0;,
01.01.2016;07:15;07:30;1571,9;1571,81;0,09;
01.01.2016;07:30;07:45;1505,37;1505,37;0;,
01.01.2016;07:45;08:00;1439,96;1439,96;0;,
01.01.2016;08:00;08:15;1335,38;1335,32;0,05;
01.01.2016;08:15;08:30;1238;1237,76;0,24;,
01.01.2016;08:30;08:45;1187,42;1186,7;0,72;
01.01.2016;08:45;09:00;1179,03;1174,77;4,26;
01.01.2016;09:00;09:15;1153,38;1149,24;4,14;
01.01.2016;09:15;09:30;1124,07;1120,86;3,21;
01.01.2016;09:30;09:45;1085,92;1081,55;4,37;
01.01.2016;09:45;10:00;1097,2;1093,98;3,22;
01.01.2016;10:00;10:15;1081,23;1079,54;1,69;
01.01.2016;10:15;10:30;1011,38;1009,48;1,9;
01.01.2016;10:30;10:45;958,24;951,31;6,94;
01.01.2016;10:45;11:00;895,65;887,77;7,88;
01.01.2016;11:00;11:15;878,41;874,8;3,61;
01.01.2016;11:15;11:30;882,51;881,06;1,45;
01.01.2016;11:30;11:45;819,11;817,81;1,29;
01.01.2016;11:45;12:00;747,25;746,25;1;,
01.01.2016;12:00;12:15;702,96;701,97;0,99;
01.01.2016;12:15;12:30;662,52;661,75;0,77;
01.01.2016;12:30;12:45;624,08;623,73;0,35;
01.01.2016;12:45;13:00;577,26;577,26;0;,
01.01.2016;13:00;13:15;527,74;527,74;0;,
01.01.2016;13:15;13:30;465,35;465,35;0;,
01.01.2016;13:30;13:45;417,57;417,57;0;,
01.01.2016;13:45;14:00;379,88;379,88;0;,
01.01.2016;14:00;14:15;358,17;358,17;0;,
01.01.2016;14:15;14:30;301,47;301,47;0;,
01.01.2016;14:30;14:45;261,16;261,16;0;,
01.01.2016;14:45;15:00;227,8;227,8;0;,
01.01.2016;15:00;15:15;189,57;189,57;0;,
01.01.2016;15:15;15:30;164,24;164,24;0;,
01.01.2016;15:30;15:45;155,82;155,82;0;,
01.01.2016;15:45;16:00;140,97;140,97;0;,
01.01.2016;16:00;16:15;124,77;124,77;0;,
01.01.2016;16:15;16:30;112,65;112,65;0;,
01.01.2016;16:30;16:45;100,58;100,54;0,04;
01.01.2016;16:45;17:00;83,64;83,64;0;,
01.01.2016;17:00;17:15;69,14;69,14;0;,
01.01.2016;17:15;17:30;67,89;67,88;0,01;
01.01.2016;17:30;17:45;76,09;75,11;0,98;
01.01.2016;17:45;18:00;89,65;88,85;0,8;
01.01.2016;18:00;18:15;98,31;96,28;2,03;
01.01.2016;18:15;18:30;103,04;101,71;1,33;
01.01.2016;18:30;18:45;106,82;105,19;1,63;
01.01.2016;18:45;19:00;114,72;111,7;3,02;
01.01.2016;19:00;19:15;126,76;122,06;4,69;
01.01.2016;19:15;19:30;139,5;134,12;5,38;
01.01.2016;19:30;19:45;149,08;140,39;8,69;
01.01.2016;19:45;20:00;165,99;149,8;16,19;
01.01.2016;20:00;20:15;159,56;131,43;28,13;
01.01.2016;20:15;20:30;162,21;118,4;43,81;
01.01.2016;20:30;20:45;163,74;114,35;49,39;
01.01.2016;20:45;21:00;197,36;148,31;49,05;
01.01.2016;21:00;21:15;227,58;177,75;49,83;
01.01.2016;21:15;21:30;229,21;184,94;44,27;
01.01.2016;21:30;21:45;247,59;202,47;45,12;
01.01.2016;21:45;22:00;268,86;212,45;56,41;
01.01.2016;22:00;22:15;305,73;224,63;81,1;
01.01.2016;22:15;22:30;350,16;260,25;89,91;
01.01.2016;22:30;22:45;405,66;315,88;89,78;
01.01.2016;22:45;23:00;456,81;350,29;106,52;
01.01.2016;23:00;23:15;487,15;358,61;128,54;
01.01.2016;23:15;23:30;521,49;385,36;136,13;
01.01.2016;23:30;23:45;563,94;424,73;139,21;
01.01.2016;23:45;00:00;575,75;432,15;143,6;
02.01.2016;00:00;00:15;613,75;467,03;146,72;
02.01.2016;00:15;00:30;650,14;503,06;147,08;
02.01.2016;00:30;00:45;676,97;509,29;167,68;
02.01.2016;00:45;01:00;719,57;528,38;191,19;
02.01.2016;01:00;01:15;803,22;594,73;208,49;
02.01.2016;01:15;01:30;876,93;650,47;226,46;
02.01.2016;01:30;01:45;930,57;695,96;234,61;
02.01.2016;01:45;02:00;995,33;735,32;260,02;
02.01.2016;02:00;02:15;1030,04;738,29;291,76;
02.01.2016;02:15;02:30;1077,26;774,41;302,85;
02.01.2016;02:30;02:45;1148,37;853,15;295,22;
02.01.2016;02:45;03:00;1219,95;939,49;280,46;
02.01.2016;03:00;03:15;1272,07;985,36;286,71;
02.01.2016;03:15;03:30;1314,48;1029,61;284,87;
02.01.2016;03:30;03:45;1404,98;1107,2;297,78;
02.01.2016;03:45;04:00;1515,37;1197,31;318,06;
02.01.2016;04:00;04:15;1625,11;1302,56;322,55;
02.01.2016;04:15;04:30;1682,31;1358,18;324,13;
02.01.2016;04:30;04:45;1737,76;1412,17;325,59;
02.01.2016;04:45;05:00;1823,19;1495,83;327,37;
02.01.2016;05:00;05:15;1969,71;1642,16;327,55;
02.01.2016;05:15;05:30;2092,23;1764,4;327,83;
02.01.2016;05:30;05:45;2244,61;1916,73;327,88;
02.01.2016;05:45;06:00;2375,13;2047,22;327,91;
02.01.2016;06:00;06:15;2498,08;2170,24;327,83;
02.01.2016;06:15;06:30;2631,45;2303,5;327,95;
02.01.2016;06:30;06:45;2742,21;2414,35;327,86;
02.01.2016;06:45;07:00;2864,6;2536,69;327,91;
02.01.2016;07:00;07:15;3000,3;2672,4;327,9;
02.01.2016;07:15;07:30;3099,44;2771,51;327,93;
02.01.2016;07:30;07:45;3280,81;2952,75;328,06;
02.01.2016;07:45;08:00;3460,7;3132,74;327,96;
02.01.2016;08:00;08:15;3597,12;3269,21;327,91;
02.01.2016;08:15;08:30;3852,68;3524,66;328,02;
02.01.2016;08:30;08:45;3942,23;3614,27;327,95;
02.01.2016;08:45;09:00;4161,74;3833,74;328;,
02.01.2016;09:00;09:15;4292,91;3964,93;327,98;
02.01.2016;09:15;09:30;4499,66;4171,66;328;,
02.01.2016;09:30;09:45;4713,8;4385,86;327,95;
02.01.2016;09:45;10:00;4822,66;4496,97;325,69;
02.01.2016;10:00;10:15;4924,5;4600,4;324,11;
02.01.2016;10:15;10:30;4978,19;4653,99;324,2;
02.01.2016;10:30;10:45;5082,49;4758,39;324,1;
02.01.2016;10:45;11:00;5138,63;4814,42;324,21;
02.01.2016;11:00;11:15;5235,54;4911,47;324,07;
02.01.2016;11:15;11:30;5315,58;4991,45;324,13;
02.01.2016;11:30;11:45;5469,64;5145,59;324,04;
02.01.2016;11:45;12:00;5575,87;5251,77;324,1;
02.01.2016;12:00;12:15;5625,37;5301,26;324,11;
02.01.2016;12:15;12:30;5613,04;5288,88;324,16;
02.01.2016;12:30;12:45;5710,88;5386,86;324,02;
02.01.2016;12:45;13:00;5673,4;5351,52;321,88;
02.01.2016;13:00;13:15;5651,53;5330,82;320,71;
02.01.2016;13:15;13:30;5774,88;5454,57;320,31;
02.01.2016;13:30;13:45;5807,55;5487,1;320,44;
02.01.2016;13:45;14:00;5855,28;5534,74;320,54;
02.01.2016;14:00;14:15;6017,6;5697,03;320,56;
02.01.2016;14:15;14:30;6226,96;5906,39;320,57;
02.01.2016;14:30;14:45;6366,04;6045,66;320,38;
02.01.2016;14:45;15:00;6444,94;6124,62;320,32;
02.01.2016;15:00;15:15;6486,06;6165,41;320,65;
02.01.2016;15:15;15:30;6614,22;6293,95;320,27;
