"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",
01.01.2013;00:00;00:15;7419,76;0;0;
01.01.2013;00:15;00:30;7391,54;0;0;
01.01.2013;00:30;00:45;7363,01;0;0;
01.01.2013;00:45;01:00;7333,45;0;0;
01.01.2013;01:00;01:15;7313,31;0;0;
01.01.2013;01:15;01:30;7305,48;0;0;
01.01.2013;01:30;01:45;7298,07;0;0;
01.01.2013;01:45;02:00;7289,67;0;0;
01.01.2013;02:00;02:15;7276,54;0;0;
01.01.2013;02:15;02:30;7262,48;0;0;
01.01.2013;02:30;02:45;7249,04;0;0;
01.01.2013;02:45;03:00;7234,62;0;0;
01.01.2013;03:00;03:15;7222,26;0;0;
01.01.2013;03:15;03:30;7212,42;0;0;
01.01.2013;03:30;03:45;7201,81;0;0;
01.01.2013;03:45;04:00;7191,41;0;0;
01.01.2013;04:00;04:15;7179,56;0;0;
01.01.2013;04:15;04:30;7157,57;0;0;
01.01.2013;04:30;04:45;7135,84;0;0;
01.01.2013;04:45;05:00;7113,59;0;0;
01.01.2013;05:00;05:15;7090,21;0;0;
01.01.2013;05:15;05:30;7068,99;0;0;
01.01.2013;05:30;05:45;7047,57;0;0;
01.01.2013;05:45;06:00;7026,61;0;0;
01.01.2013;06:00;06:15;7008,43;0;0;
01.01.2013;06:15;06:30;6992,16;0;0;
01.01.2013;06:30;06:45;6976,04;0;0;
01.01.2013;06:45;07:00;6959,61;0;0;
01.01.2013;07:00;07:15;6936,79;0;0;
01.01.2013;07:15;07:30;6919,33;0;0;
01.01.2013;07:30;07:45;6900,79;0;0;
01.01.2013;07:45;08:00;6881,79;0;0;
01.01.2013;08:00;08:15;6860,32;0;0;
01.01.2013;08:15;08:30;6841;0;0;,
01.01.2013;08:30;08:45;6820,3;0;0;
01.01.2013;08:45;09:00;6799,91;0;0;
01.01.2013;09:00;09:15;6777,71;0;0;
01.01.2013;09:15;09:30;6747,53;0;0;
01.01.2013;09:30;09:45;6717,76;0;0;
01.01.2013;09:45;10:00;6687,89;0;0;
01.01.2013;10:00;10:15;6666,68;0;0;
01.01.2013;10:15;10:30;6641,7;0;0;
01.01.2013;10:30;10:45;6616,31;0;0;
01.01.2013;10:45;11:00;6591,38;0;0;
01.01.2013;11:00;11:15;6569,24;0;0;
01.01.2013;11:15;11:30;6532,78;0;0;
01.01.2013;11:30;11:45;6495,75;0;0;
01.01.2013;11:45;12:00;6460,01;0;0;
01.01.2013;12:00;12:15;6416,64;0;0;
01.01.2013;12:15;12:30;6355,31;0;0;
01.01.2013;12:30;12:45;6293,97;0;0;
01.01.2013;12:45;13:00;6231,76;0;0;
01.01.2013;13:00;13:15;6172,84;0;0;
01.01.2013;13:15;13:30;6085,45;0;0;
01.01.2013;13:30;13:45;5997,07;0;0;
01.01.2013;13:45;14:00;5908,49;0;0;
01.01.2013;14:00;14:15;5816,05;0;0;
01.01.2013;14:15;14:30;5713,87;0;0;
01.01.2013;14:30;14:45;5612,52;0;0;
01.01.2013;14:45;15:00;5510,55;0;0;
01.01.2013;15:00;15:15;5405,75;0;0;
01.01.2013;15:15;15:30;5299,45;0;0;
01.01.2013;15:30;15:45;5193,26;0;0;
01.01.2013;15:45;16:00;5086,76;0;0;
01.01.2013;16:00;16:15;4968,77;0;0;
01.01.2013;16:15;16:30;4858,66;0;0;
01.01.2013;16:30;16:45;4747,89;0;0;
01.01.2013;16:45;17:00;4637,52;0;0;
01.01.2013;17:00;17:15;4532,98;0;0;
01.01.2013;17:15;17:30;4428,79;0;0;
01.01.2013;17:30;17:45;4323,73;0;0;
01.01.2013;17:45;18:00;4219,91;0;0;
01.01.2013;18:00;18:15;4117,17;0;0;
01.01.2013;18:15;18:30;4023,95;0;0;
01.01.2013;18:30;18:45;3930,89;0;0;
01.01.2013;18:45;19:00;3838,35;0;0;
01.01.2013;19:00;19:15;3756,51;0;0;
01.01.2013;19:15;19:30;3692,34;0;0;
01.01.2013;19:30;19:45;3628,18;0;0;
01.01.2013;19:45;20:00;3563,8;0;0;
01.01.2013;20:00;20:15;3492,01;0;0;
01.01.2013;20:15;20:30;3440,05;0;0;
01.01.2013;20:30;20:45;3387,67;0;0;
01.01.2013;20:45;21:00;3335,24;0;0;
01.01.2013;21:00;21:15;3285,6;0;0;
01.01.2013;21:15;21:30;3251,14;0;0;
01.01.2013;21:30;21:45;3217,51;0;0;
01.01.2013;21:45;22:00;3183,73;0;0;
01.01.2013;22:00;22:15;3153,81;0;0;
01.01.2013;22:15;22:30;3139,8;0;0;
01.01.2013;22:30;22:45;3126,62;0;0;
01.01.2013;22:45;23:00;3113,74;0;0;
01.01.2013;23:00;23:15;3100,2;0;0;
01.01.2013;23:15;23:30;3095,61;0;0;
01.01.2013;23:30;23:45;3091,18;0;0;
01.01.2013;23:45;00:00;3087,48;0;0;
02.01.2013;00:00;00:15;3365,37;0;0;
02.01.2013;00:15;00:30;3394,78;0;0;
02.01.2013;00:30;00:45;3424,08;0;0;
02.01.2013;00:45;01:00;3453,95;0;0;
02.01.2013;01:00;01:15;3496,18;0;0;
02.01.2013;01:15;01:30;3566,74;0;0;
02.01.2013;01:30;01:45;3637,7;0;0;
02.01.2013;01:45;02:00;3708,93;0;0;
02.01.2013;02:00;02:15;3779,53;0;0;
02.01.2013;02:15;02:30;3868,94;0;0;
02.01.2013;02:30;02:45;3959,01;0;0;
02.01.2013;02:45;03:00;4048,62;0;0;
02.01.2013;03:00;03:15;4139,78;0;0;
02.01.2013;03:15;03:30;4234,64;0;0;
02.01.2013;03:30;03:45;4329,86;0;0;
02.01.2013;03:45;04:00;4425,03;0;0;
02.01.2013;04:00;04:15;4522,88;0;0;
02.01.2013;04:15;04:30;4606,01;0;0;
02.01.2013;04:30;04:45;4688,97;0;0;
02.01.2013;04:45;05:00;4770,96;0;0;
02.01.2013;05:00;05:15;4853,77;0;0;
02.01.2013;05:15;05:30;4920,41;0;0;
02.01.2013;05:30;05:45;4986,08;0;0;
02.01.2013;05:45;06:00;5051,58;0;0;
02.01.2013;06:00;06:15;5119,2;0;0;
02.01.2013;06:15;06:30;5168,69;0;0;
02.01.2013;06:30;06:45;5218,7;0;0;
02.01.2013;06:45;07:00;5268,45;0;0;
02.01.2013;07:00;07:15;5306,3;0;0;
02.01.2013;07:15;07:30;5320,52;0;0;
02.01.2013;07:30;07:45;5334,52;0;0;
02.01.2013;07:45;08:00;5347,55;0;0;
02.01.2013;08:00;08:15;5356,1;0;0;
02.01.2013;08:15;08:30;5347,66;0;0;
02.01.2013;08:30;08:45;5338,49;0;0;
02.01.2013;08:45;09:00;5329,12;0;0;
02.01.2013;09:00;09:15;5318,1;0;0;
02.01.2013;09:15;09:30;5305,84;0;0;
02.01.2013;09:30;09:45;5293,89;0;0;
02.01.2013;09:45;10:00;5281,58;0;0;
02.01.2013;10:00;10:15;5270,2;0;0;
02.01.2013;10:15;10:30;5266,13;0;0;
02.01.2013;10:30;10:45;5262,27;0;0;
02.01.2013;10:45;11:00;5257,74;0;0;
02.01.2013;11:00;11:15;5254,7;0;0;
02.01.2013;11:15;11:30;5238,79;0;0;
02.01.2013;11:30;11:45;5221,95;0;0;
02.01.2013;11:45;12:00;5206,08;0;0;
02.01.2013;12:00;12:15;5182,5;0;0;
02.01.2013;12:15;12:30;5137,9;0;0;
02.01.2013;12:30;12:45;5093,14;0;0;
02.01.2013;12:45;13:00;5047,46;0;0;
02.01.2013;13:00;13:15;4997,71;0;0;
02.01.2013;13:15;13:30;4939,11;0;0;
02.01.2013;13:30;13:45;4879,42;0;0;
02.01.2013;13:45;14:00;4819,52;0;0;
02.01.2013;14:00;14:15;4754,89;0;0;
02.01.2013;14:15;14:30;4688,46;0;0;
02.01.2013;14:30;14:45;4622,23;0;0;
02.01.2013;14:45;15:00;4555,84;0;0;
