"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",,,
01.01.2024;00:00;00:15;8468,7;7642,32;826,38;
01.01.2024;00:15;00:30;8476,44;7683,4;793,04;
01.01.2024;00:30;00:45;8481,79;7721,15;760,64;
01.01.2024;00:45;01:00;8468,99;7740,12;728,87;
01.01.2024;01:00;01:15;8455,62;7758,68;696,94;
01.01.2024;01:15;01:30;8448,59;7782,02;666,57;
01.01.2024;01:30;01:45;8446,82;7810,43;636,39;
01.01.2024;01:45;02:00;8448,75;7842,4;606,35;
01.01.2024;02:00;02:15;8465,34;7882,56;582,78;
01.01.2024;02:15;02:30;8493,17;7919,52;573,65;
01.01.2024;02:30;02:45;8520,82;7956,37;564,45;
01.01.2024;02:45;03:00;8548,38;7993,09;555,29;
01.01.2024;03:00;03:15;8569,48;8021,73;547,75;
01.01.2024;03:15;03:30;8570,77;8033,18;537,59;
01.01.2024;03:30;03:45;8571,95;8044,8;527,15;
01.01.2024;03:45;04:00;8572,86;8056,74;516,12;
01.01.2024;04:00;04:15;8545,53;8042,33;503,2;
01.01.2024;04:15;04:30;8481,22;7986,05;495,17;
01.01.2024;04:30;04:45;8416,81;7929,66;487,15;
01.01.2024;04:45;05:00;8352,07;7873,08;478,99;
01.01.2024;05:00;05:15;8314,78;7845,58;469,2;
01.01.2024;05:15;05:30;8314,02;7859,6;454,42;
01.01.2024;05:30;05:45;8313,25;7873,87;439,38;
01.01.2024;05:45;06:00;8312,38;7888,39;423,99;
01.01.2024;06:00;06:15;8347,41;7936,46;410,95;
01.01.2024;06:15;06:30;8364,88;7961,37;403,51;
01.01.2024;06:30;06:45;8375,99;7979,6;396,39;
01.01.2024;06:45;07:00;8374,03;7984,94;389,09;
01.01.2024;07:00;07:15;8366,53;7982,74;383,79;
01.01.2024;07:15;07:30;8347,28;7965,01;382,27;
01.01.2024;07:30;07:45;8344,09;7963,53;380,56;
01.01.2024;07:45;08:00;8352,36;7973,51;378,85;
01.01.2024;08:00;08:15;8368,23;7990,5;377,73;
01.01.2024;08:15;08:30;8384,76;8008,72;376,04;
01.01.2024;08:30;08:45;8401,17;8026,86;374,31;
01.01.2024;08:45;09:00;8417,43;8044,94;372,49;
01.01.2024;09:00;09:15;8426,27;8055,6;370,67;
01.01.2024;09:15;09:30;8405,04;8035,44;369,6;
01.01.2024;09:30;09:45;8383,14;8014,77;368,37;
01.01.2024;09:45;10:00;8360,98;7994,11;366,87;
01.01.2024;10:00;10:15;8337,23;7972,7;364,53;
01.01.2024;10:15;10:30;8305,35;7942,59;362,76;
01.01.2024;10:30;10:45;8272,6;7911,48;361,12;
01.01.2024;10:45;11:00;8238,3;7878,87;359,43;
01.01.2024;11:00;11:15;8200,9;7844,06;356,84;
01.01.2024;11:15;11:30;8165,65;7817,4;348,25;
01.01.2024;11:30;11:45;8129,63;7789,78;339,85;
01.01.2024;11:45;12:00;8092,28;7760,87;331,41;
01.01.2024;12:00;12:15;8051,01;7726,99;324,02;
01.01.2024;12:15;12:30;8023,3;7702,35;320,95;
01.01.2024;12:30;12:45;7997,06;7679,41;317,65;
01.01.2024;12:45;13:00;7974,62;7660,77;313,85;
01.01.2024;13:00;13:15;7935,89;7625,86;310,03;
01.01.2024;13:15;13:30;7890,54;7584,75;305,79;
01.01.2024;13:30;13:45;7840,47;7538,69;301,78;
01.01.2024;13:45;14:00;7788,84;7490,63;298,21;
01.01.2024;14:00;14:15;7764,06;7469,04;295,02;
01.01.2024;14:15;14:30;7756,69;7463,31;293,38;
01.01.2024;14:30;14:45;7746,28;7454,54;291,74;
01.01.2024;14:45;15:00;7728,39;7438,02;290,37;
01.01.2024;15:00;15:15;7705,18;7415,7;289,48;
01.01.2024;15:15;15:30;7685,73;7394,77;290,96;
01.01.2024;15:30;15:45;7666,41;7374,38;292,03;
01.01.2024;15:45;16:00;7647,34;7354,85;292,49;
01.01.2024;16:00;16:15;7640,93;7347,95;292,98;
01.01.2024;16:15;16:30;7683,14;7389,3;293,84;
01.01.2024;16:30;16:45;7725,78;7430,73;295,05;
01.01.2024;16:45;17:00;7768,91;7472,51;296,4;
01.01.2024;17:00;17:15;7818,79;7520,76;298,03;
01.01.2024;17:15;17:30;7873,64;7576,65;296,99;
01.01.2024;17:30;17:45;7928,66;7633,01;295,65;
01.01.2024;17:45;18:00;7983,3;7689,12;294,18;
01.01.2024;18:00;18:15;8040,37;7747,69;292,68;
01.01.2024;18:15;18:30;8105,98;7813,16;292,82;
01.01.2024;18:30;18:45;8170,55;7877,03;293,52;
01.01.2024;18:45;19:00;8234,53;7940,22;294,31;
01.01.2024;19:00;19:15;8285,96;7991,69;294,27;
01.01.2024;19:15;19:30;8298,18;8004,8;293,38;
01.01.2024;19:30;19:45;8314,43;8021,34;293,09;
01.01.2024;19:45;20:00;8339,78;8046,48;293,3;
01.01.2024;20:00;20:15;8343,46;8050,11;293,35;
01.01.2024;20:15;20:30;8323,15;8028,81;294,34;
01.01.2024;20:30;20:45;8293,21;7997,51;295,7;
01.01.2024;20:45;21:00;8258,62;7961,66;296,96;
01.01.2024;21:00;21:15;8193,41;7895,87;297,54;
01.01.2024;21:15;21:30;8085,17;7790,17;295;,
01.01.2024;21:30;21:45;7976,79;7684,9;291,89;
01.01.2024;21:45;22:00;7868,28;7579,44;288,84;
01.01.2024;22:00;22:15;7730,49;7445,21;285,28;
01.01.2024;22:15;22:30;7598,83;7318,59;280,24;
01.01.2024;22:30;22:45;7465,79;7190,81;274,98;
01.01.2024;22:45;23:00;7331,25;7061,6;269,65;
