target_time,prediction,actual,best_alpha,best_l1_ratio,coefs
2018-09-14 00:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 00:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 00:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 00:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 01:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 01:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 01:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 01:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 02:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 02:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 02:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 02:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 03:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 03:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 03:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 03:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 04:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 04:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 04:30:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 04:45:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 05:00:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 05:15:00,0.0,0.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 05:30:00,1.1907714617959577,2.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 05:45:00,35.614787753712434,23.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 06:00:00,74.3181529394634,69.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 06:15:00,172.3156936962978,158.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 06:30:00,300.31105773029276,300.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 06:45:00,453.505046080983,450.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 07:00:00,653.7623683833176,495.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 07:15:00,863.5761620068438,722.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 07:30:00,1001.425988683302,953.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 07:45:00,1209.2189996247857,1165.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 08:00:00,1445.7901696084095,1376.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 08:15:00,1640.0934552698066,1588.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 08:30:00,1830.9552328906043,1748.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 08:45:00,2120.2549069894612,2020.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 09:00:00,2337.6861181667,2264.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 09:15:00,2563.660013125276,2458.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 09:30:00,2731.8019396101345,2619.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 09:45:00,2878.547266647102,2829.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:00:00,3049.6281396324666,3015.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:15:00,3239.3068695394218,3237.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:30:00,3399.9085688622476,3349.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 10:45:00,3484.9511393691446,3434.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:00:00,3672.456983535101,3433.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:15:00,3733.39644600664,3344.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:30:00,3936.741989969778,3354.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 11:45:00,3937.9094496647335,3387.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:00:00,4148.002448275157,3425.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:15:00,4029.0699217062534,3257.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:30:00,4014.564801737174,3132.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
2018-09-14 12:45:00,3815.4024462268926,3251.0,0.001,1.0,[ 0.28983095 -0.04903874 -0.14253722  0.15634371  0.40508997  0.34134819]
