target_time,prediction,actual,best_alpha,best_l1_ratio,coefs
2018-06-22 00:00:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 00:15:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 00:30:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 00:45:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 01:00:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 01:15:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 01:30:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 01:45:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 02:00:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 02:15:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 02:30:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 02:45:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 03:00:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 03:15:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 03:30:00,13.297332089952306,0.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 03:45:00,19.3588754034231,7.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 04:00:00,48.813555735716136,35.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 04:15:00,90.60578793580612,84.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 04:30:00,153.74982288149818,146.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 04:45:00,223.54759525881263,230.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 05:00:00,325.1549699968259,339.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
2018-06-22 05:15:00,422.8574795621372,460.0,0.1,0.5,"[338.69238326 332.67755117 330.06925295 315.83821772 362.14961733
 339.13948568]"
