target_time,prediction,actual,best_alpha,best_l1_ratio,coefs
2018-06-17 00:00:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 00:15:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 00:30:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 00:45:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 01:00:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 01:15:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 01:30:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 01:45:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 02:00:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 02:15:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 02:30:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 02:45:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 03:00:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 03:15:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 03:30:00,3.7153265537554034,0.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 03:45:00,13.064466856322042,10.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 04:00:00,56.28927175837998,46.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 04:15:00,117.99438716999066,105.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 04:30:00,195.25894292904695,173.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 04:45:00,302.5800439642252,264.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 05:00:00,422.541391030308,381.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
2018-06-17 05:15:00,549.1449648726925,524.0,1.0,,"[359.5881206  287.00859427 261.42390214  34.39303156 663.58169712
 404.53211368]"
