target_time,prediction,actual
2015-06-16 00:00:00,527.0512,223.0
2015-06-16 01:00:00,355.7267,199.0
2015-06-16 02:00:00,394.04425,205.0
2015-06-16 03:00:00,348.26062,207.0
2015-06-16 04:00:00,394.04425,179.0
2015-06-16 05:00:00,353.99927,133.0
2015-06-16 06:00:00,348.26062,124.0
2015-06-16 07:00:00,451.37378,266.0
2015-06-16 08:00:00,634.0222,912.0
2015-06-16 09:00:00,1098.783,2551.0
2015-06-16 10:00:00,2427.791,4069.0
2015-06-16 11:00:00,2713.9094,4603.0
2015-06-16 12:00:00,2910.6643,4753.0
2015-06-16 13:00:00,2642.4058,4772.0
2015-06-16 14:00:00,2910.6643,4777.0
2015-06-16 15:00:00,2835.3428,4611.0
2015-06-16 16:00:00,2583.5215,4357.0
2015-06-16 17:00:00,2077.8196,4201.0
2015-06-16 18:00:00,2201.169,3703.0
2015-06-16 19:00:00,1595.6241,3071.0
2015-06-16 20:00:00,745.5935,2014.0
2015-06-16 21:00:00,662.05237,1047.0
2015-06-16 22:00:00,662.05237,754.0
2015-06-16 23:00:00,462.8242,699.0
2015-06-17 00:00:00,489.66132,667.0
2015-06-17 01:00:00,443.26,659.0
2015-06-17 02:00:00,396.4843,659.0
2015-06-17 03:00:00,266.2974,658.0
2015-06-17 04:00:00,206.16434,644.0
2015-06-17 05:00:00,137.89056,560.0
2015-06-17 06:00:00,120.30231,390.0
2015-06-17 07:00:00,358.09106,476.0
2015-06-17 08:00:00,840.92267,1372.0
2015-06-17 09:00:00,3095.3367,3254.0
2015-06-17 10:00:00,3363.0525,4545.0
2015-06-17 11:00:00,4466.1265,4956.0
2015-06-17 12:00:00,5037.486,5213.0
2015-06-17 13:00:00,5037.486,5334.0
2015-06-17 14:00:00,5037.486,5303.0
2015-06-17 15:00:00,4309.1924,5225.0
2015-06-17 16:00:00,4404.4854,4993.0
2015-06-17 17:00:00,3559.111,4546.0
2015-06-17 18:00:00,3350.1943,4093.0
2015-06-17 19:00:00,3138.9917,3640.0
2015-06-17 20:00:00,1974.2395,2821.0
2015-06-17 21:00:00,1305.4395,1199.0
2015-06-17 22:00:00,551.1321,830.0
2015-06-17 23:00:00,535.35547,757.0
2015-06-18 00:00:00,563.3752,755.0
2015-06-18 01:00:00,486.7087,756.0
2015-06-18 02:00:00,578.9392,752.0
2015-06-18 03:00:00,562.20953,745.0
2015-06-18 04:00:00,565.097,740.0
2015-06-18 05:00:00,446.52176,700.0
2015-06-18 06:00:00,397.14395,488.0
2015-06-18 07:00:00,434.2258,1079.0
2015-06-18 08:00:00,1523.592,1791.0
2015-06-18 09:00:00,2930.2983,3700.0
2015-06-18 10:00:00,4533.5244,4638.0
2015-06-18 11:00:00,4768.3633,5087.0
2015-06-18 12:00:00,4740.3584,5320.0
2015-06-18 13:00:00,4811.7515,5433.0
2015-06-18 14:00:00,5041.0283,5388.0
2015-06-18 15:00:00,4826.117,5245.0
2015-06-18 16:00:00,4624.224,4962.0
2015-06-18 17:00:00,3604.657,4610.0
2015-06-18 18:00:00,3223.0354,4174.0
2015-06-18 19:00:00,3105.805,3530.0
2015-06-18 20:00:00,2902.6914,2385.0
2015-06-18 21:00:00,1497.6522,1125.0
2015-06-18 22:00:00,850.1262,771.0
2015-06-18 23:00:00,587.98157,742.0
2015-06-19 00:00:00,577.15686,731.0
2015-06-19 01:00:00,581.6861,737.0
2015-06-19 02:00:00,581.6861,769.0
2015-06-19 03:00:00,581.6861,770.0
2015-06-19 04:00:00,523.5433,763.0
2015-06-19 05:00:00,512.57153,725.0
2015-06-19 06:00:00,477.40317,488.0
2015-06-19 07:00:00,951.53094,550.0
2015-06-19 08:00:00,2501.1277,1420.0
2015-06-19 09:00:00,3408.822,3503.0
2015-06-19 10:00:00,5006.612,4530.0
2015-06-19 11:00:00,4996.1206,5008.0
2015-06-19 12:00:00,5142.1963,5223.0
2015-06-19 13:00:00,5173.2617,5406.0
2015-06-19 14:00:00,5251.354,5422.0
2015-06-19 15:00:00,4984.8237,5315.0
2015-06-19 16:00:00,4905.6704,5101.0
2015-06-19 17:00:00,4717.8486,4758.0
2015-06-19 18:00:00,3704.9585,4229.0
2015-06-19 19:00:00,3305.0405,3498.0
2015-06-19 20:00:00,2766.5776,2348.0
2015-06-19 21:00:00,1306.1704,1185.0
2015-06-19 22:00:00,581.6861,824.0
2015-06-19 23:00:00,581.6861,762.0
2015-06-20 00:00:00,635.75946,749.0
2015-06-20 01:00:00,594.92236,743.0
2015-06-20 02:00:00,594.92236,739.0
2015-06-20 03:00:00,616.73016,738.0
2015-06-20 04:00:00,616.73016,730.0
2015-06-20 05:00:00,508.94366,699.0
2015-06-20 06:00:00,462.65897,491.0
2015-06-20 07:00:00,504.1134,547.0
2015-06-20 08:00:00,2099.256,1452.0
2015-06-20 09:00:00,3994.9268,3472.0
2015-06-20 10:00:00,4662.029,4547.0
2015-06-20 11:00:00,5334.0767,5006.0
2015-06-20 12:00:00,5200.979,5228.0
2015-06-20 13:00:00,5214.534,5349.0
2015-06-20 14:00:00,5208.1104,5365.0
2015-06-20 15:00:00,5180.4517,5323.0
2015-06-20 16:00:00,4738.1787,5130.0
2015-06-20 17:00:00,4287.1196,4789.0
2015-06-20 18:00:00,3755.6274,4272.0
2015-06-20 19:00:00,3279.054,3630.0
2015-06-20 20:00:00,2465.8994,2497.0
2015-06-20 21:00:00,1043.0686,1190.0
2015-06-20 22:00:00,793.7515,762.0
2015-06-20 23:00:00,594.92236,726.0
2015-06-21 00:00:00,679.6439,726.0
2015-06-21 01:00:00,708.34265,727.0
2015-06-21 02:00:00,633.54846,725.0
2015-06-21 03:00:00,633.54846,725.0
2015-06-21 04:00:00,636.3362,714.0
2015-06-21 05:00:00,405.28757,684.0
2015-06-21 06:00:00,335.7227,424.0
2015-06-21 07:00:00,577.3159,486.0
2015-06-21 08:00:00,2437.8472,1284.0
2015-06-21 09:00:00,3859.0767,3072.0
2015-06-21 10:00:00,4958.2275,4359.0
2015-06-21 11:00:00,4932.516,4775.0
2015-06-21 12:00:00,5120.21,4859.0
2015-06-21 13:00:00,5099.251,5051.0
2015-06-21 14:00:00,4910.3467,5009.0
2015-06-21 15:00:00,4771.287,4796.0
2015-06-21 16:00:00,4614.1875,4558.0
2015-06-21 17:00:00,4294.204,4245.0
2015-06-21 18:00:00,3884.2263,3436.0
2015-06-21 19:00:00,3376.758,2396.0
2015-06-21 20:00:00,2370.5615,1431.0
2015-06-21 21:00:00,787.129,760.0
2015-06-21 22:00:00,473.57214,656.0
2015-06-21 23:00:00,661.97455,647.0
2015-06-22 00:00:00,588.7826,644.0
2015-06-22 01:00:00,515.45825,618.0
2015-06-22 02:00:00,498.61612,579.0
2015-06-22 03:00:00,382.1799,537.0
2015-06-22 04:00:00,314.21442,465.0
2015-06-22 05:00:00,310.23697,322.0
2015-06-22 06:00:00,265.71252,58.0
2015-06-22 07:00:00,474.1729,226.0
2015-06-22 08:00:00,1173.6257,828.0
2015-06-22 09:00:00,3206.1316,1892.0
2015-06-22 10:00:00,4586.8286,3182.0
2015-06-22 11:00:00,4699.802,3942.0
2015-06-22 12:00:00,4291.522,4523.0
2015-06-22 13:00:00,4453.11,4963.0
2015-06-22 14:00:00,4700.586,5087.0
2015-06-22 15:00:00,4503.209,4871.0
2015-06-22 16:00:00,3997.5745,4482.0
2015-06-22 17:00:00,3362.7917,3964.0
2015-06-22 18:00:00,3190.5312,3538.0
2015-06-22 19:00:00,2640.479,2948.0
2015-06-22 20:00:00,1491.6287,2075.0
2015-06-22 21:00:00,675.7481,1135.0
2015-06-22 22:00:00,479.25012,803.0
2015-06-22 23:00:00,479.25012,731.0
2015-06-23 00:00:00,487.95163,673.0
2015-06-23 01:00:00,451.77966,636.0
2015-06-23 02:00:00,426.36624,653.0
2015-06-23 03:00:00,456.6001,655.0
2015-06-23 04:00:00,362.14313,647.0
2015-06-23 05:00:00,260.18066,595.0
2015-06-23 06:00:00,106.32278,489.0
2015-06-23 07:00:00,379.8929,526.0
2015-06-23 08:00:00,1139.3423,1092.0
2015-06-23 09:00:00,3069.78,2591.0
2015-06-23 10:00:00,4441.6387,3958.0
2015-06-23 11:00:00,4729.7827,4712.0
2015-06-23 12:00:00,4868.8467,5136.0
2015-06-23 13:00:00,5125.93,5215.0
2015-06-23 14:00:00,4859.274,5110.0
2015-06-23 15:00:00,4878.438,4650.0
2015-06-23 16:00:00,3855.0186,4319.0
2015-06-23 17:00:00,3689.2607,4043.0
2015-06-23 18:00:00,3412.9312,3591.0
2015-06-23 19:00:00,2715.0405,3118.0
2015-06-23 20:00:00,2198.1406,2160.0
2015-06-23 21:00:00,1098.8636,1110.0
2015-06-23 22:00:00,894.0236,767.0
2015-06-23 23:00:00,697.8905,711.0
2015-06-24 00:00:00,690.90924,709.0
2015-06-24 01:00:00,706.34784,705.0
2015-06-24 02:00:00,714.1105,685.0
2015-06-24 03:00:00,625.08984,707.0
2015-06-24 04:00:00,588.9786,702.0
2015-06-24 05:00:00,447.47992,689.0
2015-06-24 06:00:00,454.58276,468.0
2015-06-24 07:00:00,502.18958,505.0
2015-06-24 08:00:00,1156.162,1271.0
2015-06-24 09:00:00,3707.735,3206.0
2015-06-24 10:00:00,4533.3677,4397.0
2015-06-24 11:00:00,4798.362,4834.0
2015-06-24 12:00:00,4813.5464,5141.0
2015-06-24 13:00:00,4946.017,5228.0
2015-06-24 14:00:00,4776.1553,5095.0
2015-06-24 15:00:00,4573.6333,5013.0
2015-06-24 16:00:00,4371.9146,4697.0
2015-06-24 17:00:00,4181.208,4304.0
2015-06-24 18:00:00,3351.6914,3778.0
2015-06-24 19:00:00,2950.9043,3051.0
2015-06-24 20:00:00,2263.7205,2053.0
2015-06-24 21:00:00,1074.6495,1089.0
2015-06-24 22:00:00,765.5528,739.0
2015-06-24 23:00:00,690.90924,620.0
2015-06-25 00:00:00,662.7585,596.0
2015-06-25 01:00:00,617.35614,591.0
2015-06-25 02:00:00,680.71686,585.0
2015-06-25 03:00:00,599.97345,573.0
2015-06-25 04:00:00,599.97345,507.0
2015-06-25 05:00:00,584.4698,466.0
2015-06-25 06:00:00,433.72675,421.0
2015-06-25 07:00:00,515.1554,498.0
2015-06-25 08:00:00,1213.2234,1271.0
2015-06-25 09:00:00,4324.0596,3279.0
2015-06-25 10:00:00,4716.9834,4479.0
2015-06-25 11:00:00,4922.922,4955.0
2015-06-25 12:00:00,5212.0215,5216.0
2015-06-25 13:00:00,5109.4214,5322.0
2015-06-25 14:00:00,5109.4214,5356.0
2015-06-25 15:00:00,5081.9385,5145.0
2015-06-25 16:00:00,4636.513,5039.0
2015-06-25 17:00:00,3954.4692,4636.0
2015-06-25 18:00:00,3770.6064,4135.0
2015-06-25 19:00:00,2661.9104,3457.0
2015-06-25 20:00:00,2360.3823,2339.0
2015-06-25 21:00:00,1195.9884,1138.0
2015-06-25 22:00:00,733.8722,785.0
2015-06-25 23:00:00,656.47,728.0
2015-06-26 00:00:00,612.10034,728.0
2015-06-26 01:00:00,636.9834,727.0
2015-06-26 02:00:00,590.4886,726.0
2015-06-26 03:00:00,572.31696,725.0
2015-06-26 04:00:00,435.4956,695.0
2015-06-26 05:00:00,439.3736,620.0
2015-06-26 06:00:00,435.4956,467.0
2015-06-26 07:00:00,521.4553,564.0
2015-06-26 08:00:00,1079.4205,1331.0
2015-06-26 09:00:00,3759.8188,3316.0
2015-06-26 10:00:00,4692.279,4505.0
2015-06-26 11:00:00,5310.2017,4964.0
2015-06-26 12:00:00,4755.934,5249.0
2015-06-26 13:00:00,5193.508,5387.0
2015-06-26 14:00:00,4840.7305,5397.0
2015-06-26 15:00:00,5230.013,5283.0
2015-06-26 16:00:00,4864.763,5089.0
2015-06-26 17:00:00,4471.744,4754.0
2015-06-26 18:00:00,4321.768,4240.0
2015-06-26 19:00:00,3306.5403,3496.0
2015-06-26 20:00:00,2188.9043,2323.0
2015-06-26 21:00:00,1210.7087,1129.0
2015-06-26 22:00:00,889.26764,809.0
2015-06-26 23:00:00,610.183,752.0
2015-06-27 00:00:00,698.8855,744.0
2015-06-27 01:00:00,776.9415,745.0
2015-06-27 02:00:00,763.38257,747.0
2015-06-27 03:00:00,626.456,745.0
2015-06-27 04:00:00,635.56256,742.0
2015-06-27 05:00:00,612.8691,726.0
2015-06-27 06:00:00,475.80304,554.0
2015-06-27 07:00:00,574.9335,493.0
2015-06-27 08:00:00,1482.562,1293.0
2015-06-27 09:00:00,4175.752,3322.0
2015-06-27 10:00:00,4926.317,4481.0
2015-06-27 11:00:00,5113.022,4938.0
2015-06-27 12:00:00,5192.9556,5188.0
2015-06-27 13:00:00,5118.696,5322.0
2015-06-27 14:00:00,4986.562,5348.0
2015-06-27 15:00:00,5012.859,5261.0
2015-06-27 16:00:00,4576.5933,5030.0
2015-06-27 17:00:00,4505.298,4654.0
2015-06-27 18:00:00,3916.8147,4152.0
2015-06-27 19:00:00,3479.911,3452.0
2015-06-27 20:00:00,2290.6816,2288.0
2015-06-27 21:00:00,1319.0167,1150.0
2015-06-27 22:00:00,986.9095,799.0
2015-06-27 23:00:00,763.38257,763.0
2015-06-28 00:00:00,795.8211,760.0
2015-06-28 01:00:00,806.01495,752.0
2015-06-28 02:00:00,827.0781,748.0
2015-06-28 03:00:00,796.4531,746.0
2015-06-28 04:00:00,700.5409,741.0
2015-06-28 05:00:00,582.5736,729.0
2015-06-28 06:00:00,454.39606,537.0
2015-06-28 07:00:00,525.63666,512.0
2015-06-28 08:00:00,1375.1824,1280.0
2015-06-28 09:00:00,3710.979,3271.0
2015-06-28 10:00:00,4703.367,4453.0
2015-06-28 11:00:00,5087.951,4900.0
2015-06-28 12:00:00,4982.8223,5154.0
2015-06-28 13:00:00,5371.1147,5265.0
2015-06-28 14:00:00,5001.6777,5277.0
2015-06-28 15:00:00,5144.376,5200.0
2015-06-28 16:00:00,4508.493,5008.0
2015-06-28 17:00:00,3934.5671,4665.0
2015-06-28 18:00:00,3405.983,4155.0
2015-06-28 19:00:00,2332.488,3415.0
2015-06-28 20:00:00,1995.9733,2249.0
2015-06-28 21:00:00,1159.1224,1088.0
2015-06-28 22:00:00,892.2325,769.0
2015-06-28 23:00:00,795.8211,754.0
2015-06-29 00:00:00,732.759,756.0
2015-06-29 01:00:00,653.0609,761.0
2015-06-29 02:00:00,338.4106,754.0
2015-06-29 03:00:00,575.6426,754.0
2015-06-29 04:00:00,530.43097,749.0
2015-06-29 05:00:00,517.22546,729.0
2015-06-29 06:00:00,301.23044,512.0
2015-06-29 07:00:00,598.1172,484.0
2015-06-29 08:00:00,1285.3774,1173.0
2015-06-29 09:00:00,3980.8872,2935.0
2015-06-29 10:00:00,4623.846,4312.0
2015-06-29 11:00:00,5062.987,4864.0
2015-06-29 12:00:00,5245.458,5130.0
2015-06-29 13:00:00,4568.558,5267.0
2015-06-29 14:00:00,4836.823,5238.0
2015-06-29 15:00:00,5076.102,5177.0
2015-06-29 16:00:00,4773.439,4981.0
2015-06-29 17:00:00,4279.4307,4632.0
2015-06-29 18:00:00,3359.1921,4118.0
2015-06-29 19:00:00,2754.9424,3416.0
2015-06-29 20:00:00,2113.6934,2518.0
2015-06-29 21:00:00,1207.8093,1734.0
2015-06-29 22:00:00,752.5558,1408.0
2015-06-29 23:00:00,732.759,1382.0
2015-06-30 00:00:00,685.75757,1372.0
2015-06-30 01:00:00,671.98315,1374.0
2015-06-30 02:00:00,653.6823,1372.0
2015-06-30 03:00:00,574.57965,1369.0
2015-06-30 04:00:00,549.0317,1370.0
2015-06-30 05:00:00,520.5222,1333.0
2015-06-30 06:00:00,406.62772,1074.0
2015-06-30 07:00:00,480.49356,975.0
2015-06-30 08:00:00,919.5018,1354.0
2015-06-30 09:00:00,2822.768,2712.0
2015-06-30 10:00:00,4571.55,3761.0
2015-06-30 11:00:00,4787.26,4293.0
2015-06-30 12:00:00,4584.5845,4606.0
2015-06-30 13:00:00,4626.4746,4671.0
2015-06-30 14:00:00,4436.54,4643.0
2015-06-30 15:00:00,4583.196,4613.0
2015-06-30 16:00:00,4826.0693,4498.0
2015-06-30 17:00:00,4070.408,4283.0
2015-06-30 18:00:00,3773.6519,3944.0
2015-06-30 19:00:00,3000.4932,3413.0
2015-06-30 20:00:00,2596.6626,2527.0
2015-06-30 21:00:00,2154.74,1662.0
2015-06-30 22:00:00,1665.2769,1333.0
2015-06-30 23:00:00,1865.1438,1282.0
2015-07-01 00:00:00,1307.5,32.0
2015-07-01 01:00:00,1629.7607,32.0
2015-07-01 02:00:00,1543.7936,32.0
2015-07-01 03:00:00,1623.0471,32.0
2015-07-01 04:00:00,2303.8188,32.0
2015-07-01 05:00:00,1829.9998,32.0
2015-07-01 06:00:00,1687.7876,32.0
2015-07-01 07:00:00,1668.1064,34.0
2015-07-01 08:00:00,1310.3696,40.0
2015-07-01 09:00:00,2780.92,355.0
2015-07-01 10:00:00,3434.011,984.0
2015-07-01 11:00:00,3605.0337,1598.0
2015-07-01 12:00:00,3635.7095,2132.0
2015-07-01 13:00:00,3499.0237,2453.0
2015-07-01 14:00:00,3514.0127,2614.0
2015-07-01 15:00:00,3523.5625,2609.0
2015-07-01 16:00:00,2688.7136,2194.0
2015-07-01 17:00:00,2312.6995,1068.0
2015-07-01 18:00:00,1973.956,303.0
2015-07-01 19:00:00,1476.8622,71.0
2015-07-01 20:00:00,1158.6973,56.0
2015-07-01 21:00:00,1110.9553,53.0
2015-07-01 22:00:00,593.2565,53.0
2015-07-01 23:00:00,559.2995,52.0
2015-07-02 00:00:00,69.255806,118.0
2015-07-02 01:00:00,94.37072,116.0
2015-07-02 02:00:00,85.52541,97.0
2015-07-02 03:00:00,243.91927,82.0
