target_time,prediction,actual,best_alpha,best_l1_ratio,coefs
2018-04-05 00:00:00,47.93179801089144,52.85,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 01:00:00,47.514578668470115,52.78,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 02:00:00,48.84943038953201,52.91,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 03:00:00,50.843199154447404,53.75,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 04:00:00,53.73338636789484,52.39000000000001,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 05:00:00,53.78870133405565,54.24,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 06:00:00,55.979322720526945,64.25,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 07:00:00,63.507200788434574,64.66,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 08:00:00,62.40649098562169,62.43999999999999,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 09:00:00,60.69130244783885,59.540000000000006,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 10:00:00,57.55940360455571,54.620000000000005,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 11:00:00,53.802317695904414,55.290000000000006,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 12:00:00,54.40057195139031,54.27,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 13:00:00,52.60814758746566,51.76,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 14:00:00,50.68413400381303,51.53999999999999,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 15:00:00,50.83117513092181,50.03,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
2018-04-05 16:00:00,50.371103355946964,51.34,0.01,0.5,[ 4.62125951 -0.          2.65266992  2.36103603  2.1419971   2.5638648 ]
