target_time,prediction,actual,best_alpha,best_l1_ratio,coefs
2018-04-05 00:00:00,47.94652271701716,52.85,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 01:00:00,47.521956981096864,52.78,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 02:00:00,48.84038250766878,52.91,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 03:00:00,50.83336755471001,53.75,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 04:00:00,53.72248167757515,52.39000000000001,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 05:00:00,53.771120601526675,54.24,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 06:00:00,55.96197612567057,64.25,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 07:00:00,63.526202017038216,64.66,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 08:00:00,62.41430457667052,62.43999999999999,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 09:00:00,60.684721208241385,59.540000000000006,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 10:00:00,57.55927330816126,54.620000000000005,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 11:00:00,53.79032739055983,55.290000000000006,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 12:00:00,54.39100639477672,54.27,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 13:00:00,52.601756682836765,51.76,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 14:00:00,50.67719851236613,51.53999999999999,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 15:00:00,50.825375574442475,50.03,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 16:00:00,50.36073274615858,51.34,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 17:00:00,53.833391397709335,55.98,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 18:00:00,58.46281139477068,59.05,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 19:00:00,59.84039490082767,58.33,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 20:00:00,56.25101056972447,53.53,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 21:00:00,50.95604855859487,53.2,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 22:00:00,51.41888078390738,44.559999999999995,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-05 23:00:00,43.36094945212937,37.35,0.01,0.6,[ 4.71596328 -0.          2.66398456  2.31321248  2.09665196  2.55316753]
2018-04-06 00:00:00,37.11010987195364,35.99,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 01:00:00,36.0073218375587,35.309999999999995,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 02:00:00,36.04004380829786,35.8,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 03:00:00,37.177649565176324,38.85999999999999,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 04:00:00,42.40442211676483,49.25,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 05:00:00,52.677705808726884,52.52,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 06:00:00,56.51463658803576,56.6,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 07:00:00,57.61015252358329,55.35999999999999,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 08:00:00,55.064343891199464,52.16,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 09:00:00,51.713854123690446,51.559999999999995,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 10:00:00,50.41791098775701,49.42,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 11:00:00,48.559674321710176,44.36999999999999,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 12:00:00,44.10970424390069,41.0,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
2018-04-06 13:00:00,41.27776237680022,37.209999999999994,0.01,0.6,[ 4.69738592 -0.          2.73440756  2.32295773  2.09161518  2.51946642]
