forecast_time,predicted_solar_generation,forecast_made_at,generation solar
2015-03-13 00:00:00,206.41049722045244,2015-03-12 09:00:00,347.0
2015-03-13 01:00:00,188.99148677883954,2015-03-12 09:00:00,192.0
2015-03-13 02:00:00,173.6539509631337,2015-03-12 09:00:00,110.0
2015-03-13 03:00:00,167.69386463194581,2015-03-12 09:00:00,56.0
2015-03-13 04:00:00,158.6923404631853,2015-03-12 09:00:00,53.0
2015-03-13 05:00:00,146.51222305363225,2015-03-12 09:00:00,58.0
2015-03-13 06:00:00,116.14205131375883,2015-03-12 09:00:00,58.0
2015-03-13 07:00:00,110.64831784708609,2015-03-12 09:00:00,78.0
2015-03-13 08:00:00,276.4167332178055,2015-03-12 09:00:00,560.0
2015-03-13 09:00:00,969.6031812469438,2015-03-12 09:00:00,1518.0
2015-03-13 10:00:00,1809.0416007506337,2015-03-12 09:00:00,2700.0
2015-03-13 11:00:00,2411.0923991742097,2015-03-12 09:00:00,3612.0
2015-03-13 12:00:00,2798.9764345871,2015-03-12 09:00:00,4345.0
2015-03-13 13:00:00,2936.198868837023,2015-03-12 09:00:00,4646.0
2015-03-13 14:00:00,2887.7149215878517,2015-03-12 09:00:00,4751.0
2015-03-13 15:00:00,2694.1474025175703,2015-03-12 09:00:00,4687.0
2015-03-13 16:00:00,2316.0389466300962,2015-03-12 09:00:00,4209.0
2015-03-13 17:00:00,1715.0178778342147,2015-03-12 09:00:00,3308.0
2015-03-13 18:00:00,1126.6582918278013,2015-03-12 09:00:00,1748.0
2015-03-13 19:00:00,739.3503695520781,2015-03-12 09:00:00,669.0
2015-03-13 20:00:00,441.9903635542131,2015-03-12 09:00:00,466.0
2015-03-13 21:00:00,249.03707225627602,2015-03-12 09:00:00,333.0
2015-03-13 22:00:00,202.81123049220633,2015-03-12 09:00:00,182.0
2015-03-13 23:00:00,180.31111789050846,2015-03-12 09:00:00,98.0
2015-03-14 00:00:00,230.93187723247286,2015-03-13 09:00:00,53.0
2015-03-14 01:00:00,200.606225483402,2015-03-13 09:00:00,48.0
2015-03-14 02:00:00,178.39758396731202,2015-03-13 09:00:00,29.0
2015-03-14 03:00:00,167.89749788609336,2015-03-13 09:00:00,28.0
2015-03-14 04:00:00,158.62074906064635,2015-03-13 09:00:00,28.0
2015-03-14 05:00:00,146.79551846342008,2015-03-13 09:00:00,28.0
2015-03-14 06:00:00,116.39771056996136,2015-03-13 09:00:00,30.0
2015-03-14 07:00:00,112.52467244220475,2015-03-13 09:00:00,57.0
2015-03-14 08:00:00,318.2390330045769,2015-03-13 09:00:00,614.0
2015-03-14 09:00:00,1072.3823854999578,2015-03-13 09:00:00,1670.0
2015-03-14 10:00:00,1969.7216630464418,2015-03-13 09:00:00,3022.0
2015-03-14 11:00:00,2614.9577334075875,2015-03-13 09:00:00,4128.0
2015-03-14 12:00:00,3049.9814488745233,2015-03-13 09:00:00,4582.0
2015-03-14 13:00:00,3222.3836236961242,2015-03-13 09:00:00,4807.0
2015-03-14 14:00:00,3192.8696582694997,2015-03-13 09:00:00,4920.0
2015-03-14 15:00:00,3008.605033318417,2015-03-13 09:00:00,4953.0
2015-03-14 16:00:00,2615.55899797848,2015-03-13 09:00:00,4459.0
2015-03-14 17:00:00,1969.6462452590097,2015-03-13 09:00:00,3726.0
2015-03-14 18:00:00,1263.9513515728768,2015-03-13 09:00:00,2237.0
2015-03-14 19:00:00,786.2379511840509,2015-03-13 09:00:00,904.0
2015-03-14 20:00:00,478.9200993956343,2015-03-13 09:00:00,636.0
2015-03-14 21:00:00,275.7840476688954,2015-03-13 09:00:00,574.0
