time,predicted_generation_solar,actual_generation_solar,day_mse
2015-01-10 23:00:00,533.6003,26.0,7122912.511969036
2015-01-11 00:00:00,597.7337,25.0,7122912.511969036
2015-01-11 01:00:00,572.0169,25.0,7122912.511969036
2015-01-11 02:00:00,296.37988,25.0,7122912.511969036
2015-01-11 03:00:00,1310.7394,25.0,7122912.511969036
2015-01-11 04:00:00,705.91187,25.0,7122912.511969036
2015-01-11 05:00:00,1995.1974,23.0,7122912.511969036
2015-01-11 06:00:00,1956.3947,35.0,7122912.511969036
2015-01-11 07:00:00,2037.79,394.0,7122912.511969036
2015-01-11 08:00:00,2543.7048,1228.0,7122912.511969036
2015-01-11 09:00:00,3875.9255,2045.0,7122912.511969036
2015-01-11 10:00:00,4481.698,2423.0,7122912.511969036
2015-01-11 11:00:00,5165.8403,2437.0,7122912.511969036
2015-01-11 12:00:00,5208.9917,2022.0,7122912.511969036
2015-01-11 13:00:00,5562.315,1630.0,7122912.511969036
2015-01-11 14:00:00,5713.6323,1334.0,7122912.511969036
2015-01-11 15:00:00,4966.4097,860.0,7122912.511969036
2015-01-11 16:00:00,4823.9,254.0,7122912.511969036
2015-01-11 17:00:00,4649.939,57.0,7122912.511969036
2015-01-11 18:00:00,4283.569,54.0,7122912.511969036
2015-01-11 19:00:00,3258.0032,55.0,7122912.511969036
2015-01-11 20:00:00,2135.218,34.0,7122912.511969036
2015-01-11 21:00:00,2036.2601,31.0,7122912.511969036
2015-01-11 22:00:00,802.68555,31.0,7122912.511969036
2015-01-11 23:00:00,40.103535,44.0,404134.31741887215
2015-01-12 00:00:00,281.5109,42.0,404134.31741887215
2015-01-12 01:00:00,296.78085,42.0,404134.31741887215
2015-01-12 02:00:00,274.88266,42.0,404134.31741887215
2015-01-12 03:00:00,288.3056,42.0,404134.31741887215
2015-01-12 04:00:00,308.46494,42.0,404134.31741887215
2015-01-12 05:00:00,334.73563,42.0,404134.31741887215
2015-01-12 06:00:00,315.3489,45.0,404134.31741887215
2015-01-12 07:00:00,166.57379,157.0,404134.31741887215
2015-01-12 08:00:00,1095.8721,1104.0,404134.31741887215
2015-01-12 09:00:00,3160.6555,2190.0,404134.31741887215
2015-01-12 10:00:00,3123.751,3012.0,404134.31741887215
2015-01-12 11:00:00,3955.891,3262.0,404134.31741887215
2015-01-12 12:00:00,3151.7224,3208.0,404134.31741887215
2015-01-12 13:00:00,2593.6558,3027.0,404134.31741887215
2015-01-12 14:00:00,1308.6876,2630.0,404134.31741887215
2015-01-12 15:00:00,1252.6255,1615.0,404134.31741887215
2015-01-12 16:00:00,342.7959,422.0,404134.31741887215
2015-01-12 17:00:00,841.64526,86.0,404134.31741887215
2015-01-12 18:00:00,880.84534,63.0,404134.31741887215
2015-01-12 19:00:00,824.53015,56.0,404134.31741887215
2015-01-12 20:00:00,1400.4183,44.0,404134.31741887215
2015-01-12 21:00:00,1398.8623,42.0,404134.31741887215
2015-01-12 22:00:00,500.3393,42.0,404134.31741887215
2015-01-12 23:00:00,183.38986,32.0,2600362.349568715
2015-01-13 00:00:00,269.94388,32.0,2600362.349568715
2015-01-13 01:00:00,2114.7527,32.0,2600362.349568715
2015-01-13 02:00:00,2109.7175,32.0,2600362.349568715
2015-01-13 03:00:00,2146.0706,32.0,2600362.349568715
2015-01-13 04:00:00,2133.5427,32.0,2600362.349568715
2015-01-13 05:00:00,2143.877,32.0,2600362.349568715
2015-01-13 06:00:00,2102.5925,37.0,2600362.349568715
2015-01-13 07:00:00,2149.5808,56.0,2600362.349568715
2015-01-13 08:00:00,2617.0823,516.0,2600362.349568715
2015-01-13 09:00:00,2864.6082,1475.0,2600362.349568715
2015-01-13 10:00:00,3049.5322,2284.0,2600362.349568715
2015-01-13 11:00:00,3074.4248,2857.0,2600362.349568715
2015-01-13 12:00:00,3012.3047,3217.0,2600362.349568715
2015-01-13 13:00:00,3087.2615,3253.0,2600362.349568715
2015-01-13 14:00:00,2952.3735,3084.0,2600362.349568715
2015-01-13 15:00:00,2955.3157,2475.0,2600362.349568715
2015-01-13 16:00:00,2200.5215,1187.0,2600362.349568715
2015-01-13 17:00:00,2129.0142,303.0,2600362.349568715
2015-01-13 18:00:00,2114.8188,98.0,2600362.349568715
2015-01-13 19:00:00,2072.429,80.0,2600362.349568715
2015-01-13 20:00:00,2040.1288,44.0,2600362.349568715
2015-01-13 21:00:00,2038.2242,44.0,2600362.349568715
2015-01-13 22:00:00,2040.5482,35.0,2600362.349568715
2015-01-13 23:00:00,-13.793504,28.0,166024.09668688956
2015-01-14 00:00:00,39.916492,28.0,166024.09668688956
2015-01-14 01:00:00,41.861362,27.0,166024.09668688956
2015-01-14 02:00:00,32.77237,27.0,166024.09668688956
2015-01-14 03:00:00,466.16718,27.0,166024.09668688956
2015-01-14 04:00:00,40.238194,27.0,166024.09668688956
2015-01-14 05:00:00,165.09209,27.0,166024.09668688956
2015-01-14 06:00:00,53.82771,32.0,166024.09668688956
2015-01-14 07:00:00,206.41925,39.0,166024.09668688956
2015-01-14 08:00:00,1193.9473,411.0,166024.09668688956
2015-01-14 09:00:00,1991.5347,1258.0,166024.09668688956
2015-01-14 10:00:00,1857.5791,1960.0,166024.09668688956
2015-01-14 11:00:00,2470.9373,2480.0,166024.09668688956
2015-01-14 12:00:00,2625.6052,2688.0,166024.09668688956
2015-01-14 13:00:00,3582.424,2683.0,166024.09668688956
2015-01-14 14:00:00,3081.295,2420.0,166024.09668688956
2015-01-14 15:00:00,3068.9878,2003.0,166024.09668688956
2015-01-14 16:00:00,1244.5238,905.0,166024.09668688956
2015-01-14 17:00:00,282.81366,213.0,166024.09668688956
2015-01-14 18:00:00,85.70134,112.0,166024.09668688956
2015-01-14 19:00:00,53.20415,79.0,166024.09668688956
2015-01-14 20:00:00,32.982162,32.0,166024.09668688956
2015-01-14 21:00:00,66.25389,31.0,166024.09668688956
2015-01-14 22:00:00,297.30185,31.0,166024.09668688956
2015-01-14 23:00:00,59.64531,31.0,361036.4172579514
2015-01-15 00:00:00,98.147415,31.0,361036.4172579514
2015-01-15 01:00:00,365.193,31.0,361036.4172579514
2015-01-15 02:00:00,365.14746,31.0,361036.4172579514
2015-01-15 03:00:00,365.13766,31.0,361036.4172579514
2015-01-15 04:00:00,358.91483,31.0,361036.4172579514
2015-01-15 05:00:00,363.31714,31.0,361036.4172579514
2015-01-15 06:00:00,371.2445,33.0,361036.4172579514
2015-01-15 07:00:00,383.06604,50.0,361036.4172579514
2015-01-15 08:00:00,667.52075,562.0,361036.4172579514
2015-01-15 09:00:00,1407.8152,1336.0,361036.4172579514
2015-01-15 10:00:00,2298.09,1984.0,361036.4172579514
2015-01-15 11:00:00,2620.772,2287.0,361036.4172579514
2015-01-15 12:00:00,2996.0647,2274.0,361036.4172579514
2015-01-15 13:00:00,3008.4365,2062.0,361036.4172579514
2015-01-15 14:00:00,2596.5205,1593.0,361036.4172579514
2015-01-15 15:00:00,2532.3298,939.0,361036.4172579514
2015-01-15 16:00:00,1429.3456,287.0,361036.4172579514
2015-01-15 17:00:00,1087.0416,67.0,361036.4172579514
2015-01-15 18:00:00,617.5375,62.0,361036.4172579514
2015-01-15 19:00:00,161.30125,61.0,361036.4172579514
2015-01-15 20:00:00,101.39379,59.0,361036.4172579514
2015-01-15 21:00:00,102.32923,59.0,361036.4172579514
2015-01-15 22:00:00,214.67786,59.0,361036.4172579514
2015-01-15 23:00:00,45.326767,59.0,267350.11374565546
